"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2672","20"
"Hispanic/Latino","American Indian/Alaska Native","126","0"
"Hispanic/Latino","Asian","282","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","187","1"
"Hispanic/Latino","Other","30169","302"
"Hispanic/Latino","Unknown","13537","12"
"Hispanic/Latino","White","40265","536"
"Non-Hispanic/Latino","African-American/Black","194372","5487"
"Non-Hispanic/Latino","American Indian/Alaska Native","359","11"
"Non-Hispanic/Latino","Asian","14954","317"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","589","12"
"Non-Hispanic/Latino","Other","10399","53"
"Non-Hispanic/Latino","Unknown","7333","45"
"Non-Hispanic/Latino","White","285881","9196"
"Unknown","African-American/Black","26715","25"
"Unknown","American Indian/Alaska Native","162","0"
"Unknown","Asian","3534","2"
"Unknown","Native Hawaiian/Pacific Islander","173","0"
"Unknown","Other","26419","22"
"Unknown","Unknown","143467","54"
"Unknown","White","41546","49"
