"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","4137","1","88"
"05-09 years","Georgia","6119","1","63"
"10-17 years","Georgia","21656","5","289"
"18-29 years","Georgia","89509","58","2118"
"30-39 years","Georgia","58694","136","2838"
"40-49 years","Georgia","55740","300","4034"
"50-59 years","Georgia","51549","747","5705"
"60-69 years","Georgia","34753","1574","6415"
"70-79 years","Georgia","20268","2180","5549"
"80 & Older years","Georgia","12975","2950","4380"
"<1 years","Georgia","1278","0","74"
"Unknown years","Georgia","1547","3","53"
"01-04 years","Appling","15","0","0"
"05-09 years","Appling","35","0","0"
"10-17 years","Appling","97","0","1"
"18-29 years","Appling","219","0","4"
"30-39 years","Appling","174","1","5"
"40-49 years","Appling","167","2","12"
"50-59 years","Appling","180","6","17"
"60-69 years","Appling","144","8","28"
"70-79 years","Appling","99","11","22"
"80 & Older years","Appling","41","10","14"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","3","0","1"
"05-09 years","Atkinson","11","0","1"
"10-17 years","Atkinson","24","0","0"
"18-29 years","Atkinson","107","0","7"
"30-39 years","Atkinson","84","0","6"
"40-49 years","Atkinson","87","0","11"
"50-59 years","Atkinson","85","0","14"
"60-69 years","Atkinson","49","3","13"
"70-79 years","Atkinson","26","1","5"
"80 & Older years","Atkinson","8","2","5"
"<1 years","Atkinson","2","0","0"
"01-04 years","Bacon","11","0","0"
"05-09 years","Bacon","13","0","0"
"10-17 years","Bacon","42","0","0"
"18-29 years","Bacon","163","0","1"
"30-39 years","Bacon","84","0","3"
"40-49 years","Bacon","107","1","6"
"50-59 years","Bacon","97","2","13"
"60-69 years","Bacon","57","5","11"
"70-79 years","Bacon","37","3","8"
"80 & Older years","Bacon","22","5","6"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","4","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","5","0","0"
"18-29 years","Baker","16","0","0"
"30-39 years","Baker","11","0","2"
"40-49 years","Baker","9","0","1"
"50-59 years","Baker","14","0","1"
"60-69 years","Baker","14","2","6"
"70-79 years","Baker","12","2","8"
"80 & Older years","Baker","3","2","2"
"01-04 years","Baldwin","11","0","0"
"05-09 years","Baldwin","25","0","0"
"10-17 years","Baldwin","81","0","1"
"18-29 years","Baldwin","924","0","10"
"30-39 years","Baldwin","246","1","10"
"40-49 years","Baldwin","277","2","24"
"50-59 years","Baldwin","281","7","35"
"60-69 years","Baldwin","235","13","40"
"70-79 years","Baldwin","143","18","32"
"80 & Older years","Baldwin","92","24","22"
"<1 years","Baldwin","5","0","0"
"Unknown years","Baldwin","2","0","0"
"01-04 years","Banks","5","0","0"
"05-09 years","Banks","7","0","0"
"10-17 years","Banks","39","0","0"
"18-29 years","Banks","99","0","3"
"30-39 years","Banks","70","0","0"
"40-49 years","Banks","77","0","10"
"50-59 years","Banks","82","0","7"
"60-69 years","Banks","76","1","15"
"70-79 years","Banks","51","3","20"
"80 & Older years","Banks","47","4","17"
"<1 years","Banks","2","0","0"
"Unknown years","Banks","8","0","1"
"01-04 years","Barrow","30","0","0"
"05-09 years","Barrow","46","0","0"
"10-17 years","Barrow","155","0","2"
"18-29 years","Barrow","594","1","22"
"30-39 years","Barrow","456","0","23"
"40-49 years","Barrow","473","2","38"
"50-59 years","Barrow","378","2","47"
"60-69 years","Barrow","244","9","56"
"70-79 years","Barrow","152","13","44"
"80 & Older years","Barrow","98","24","38"
"<1 years","Barrow","10","0","2"
"Unknown years","Barrow","9","0","0"
"01-04 years","Bartow","30","0","1"
"05-09 years","Bartow","62","0","1"
"10-17 years","Bartow","314","0","2"
"18-29 years","Bartow","751","0","8"
"30-39 years","Bartow","592","2","24"
"40-49 years","Bartow","573","0","31"
"50-59 years","Bartow","583","6","66"
"60-69 years","Bartow","352","15","68"
"70-79 years","Bartow","242","29","72"
"80 & Older years","Bartow","161","44","60"
"<1 years","Bartow","15","0","1"
"Unknown years","Bartow","14","0","3"
"01-04 years","Ben Hill","21","0","1"
"05-09 years","Ben Hill","16","0","0"
"10-17 years","Ben Hill","53","0","0"
"18-29 years","Ben Hill","144","0","4"
"30-39 years","Ben Hill","143","2","5"
"40-49 years","Ben Hill","109","0","5"
"50-59 years","Ben Hill","140","2","17"
"60-69 years","Ben Hill","125","9","18"
"70-79 years","Ben Hill","92","13","33"
"80 & Older years","Ben Hill","31","8","8"
"<1 years","Ben Hill","2","0","0"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","9","0","0"
"05-09 years","Berrien","10","0","0"
"10-17 years","Berrien","28","0","0"
"18-29 years","Berrien","101","0","0"
"30-39 years","Berrien","81","0","0"
"40-49 years","Berrien","73","0","1"
"50-59 years","Berrien","77","0","10"
"60-69 years","Berrien","52","1","6"
"70-79 years","Berrien","34","4","2"
"80 & Older years","Berrien","29","8","6"
"<1 years","Berrien","1","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","80","0","2"
"05-09 years","Bibb","100","0","0"
"10-17 years","Bibb","293","0","6"
"18-29 years","Bibb","1593","1","53"
"30-39 years","Bibb","1071","4","62"
"40-49 years","Bibb","1025","9","121"
"50-59 years","Bibb","936","11","141"
"60-69 years","Bibb","774","41","221"
"70-79 years","Bibb","454","56","162"
"80 & Older years","Bibb","301","77","134"
"<1 years","Bibb","25","0","4"
