"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes","infection_date"
"64","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-03","","","",NA,"",NA
"65","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"66","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"67","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"68","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"69","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"70","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"71","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-04","","","",NA,"","2020-01-22"
"72","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"73","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"74","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"75","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"76","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"77","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"78","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"79","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"80","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-04","","","",NA,"",NA
"81","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"82","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"83","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"84","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"85","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"86","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"87","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-05","","","",NA,"","2020-01-22"
"88","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"89","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"90","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"91","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"92","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"93","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"94","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"95","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"96","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-05","","","",NA,"",NA
"97","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"98","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"99","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"100","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"101","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"102","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"103","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-06","","","",NA,"","2020-01-22"
"104","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"105","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"106","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"107","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"108","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"109","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"110","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"111","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"112","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-06","","","",NA,"",NA
"113","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"114","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"115","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"116","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"117","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"118","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
"119","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-07","","","",NA,"","2020-01-22"
"120","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-07","","","",NA,"",NA
