"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2930","22"
"Hispanic/Latino","American Indian/Alaska Native","141","0"
"Hispanic/Latino","Asian","307","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","197","2"
"Hispanic/Latino","Other","32437","332"
"Hispanic/Latino","Unknown","14069","16"
"Hispanic/Latino","White","43135","578"
"Non-Hispanic/Latino","African-American/Black","212151","6018"
"Non-Hispanic/Latino","American Indian/Alaska Native","381","11"
"Non-Hispanic/Latino","Asian","16191","336"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","648","13"
"Non-Hispanic/Latino","Other","11237","59"
"Non-Hispanic/Latino","Unknown","7229","45"
"Non-Hispanic/Latino","White","310319","9970"
"Unknown","African-American/Black","25929","31"
"Unknown","American Indian/Alaska Native","168","0"
"Unknown","Asian","3665","2"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","26785","25"
"Unknown","Unknown","133434","59"
"Unknown","White","39971","57"
