"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1573","12"
"Hispanic/Latino","American Indian/Alaska Native","70","0"
"Hispanic/Latino","Asian","157","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","128","0"
"Hispanic/Latino","Other","20834","200"
"Hispanic/Latino","Unknown","9042","5"
"Hispanic/Latino","White","28345","347"
"Non-Hispanic/Latino","African-American/Black","119927","3587"
"Non-Hispanic/Latino","American Indian/Alaska Native","215","10"
"Non-Hispanic/Latino","Asian","7835","169"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","364","6"
"Non-Hispanic/Latino","Other","5435","16"
"Non-Hispanic/Latino","Unknown","4367","14"
"Non-Hispanic/Latino","White","166316","5015"
"Unknown","African-American/Black","16442","11"
"Unknown","American Indian/Alaska Native","95","0"
"Unknown","Asian","2016","0"
"Unknown","Native Hawaiian/Pacific Islander","119","0"
"Unknown","Other","7460","5"
"Unknown","Unknown","89091","26"
"Unknown","White","24670","12"
