"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","WV","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","MP","PR","VI","deaths_New","deaths_Cml","time_last_update"
2021-01-18,NA,1,201,7,NA,NA,1,26,5,3,7,NA,NA,1,50,30,23,20,11,2,NA,5,81,7,11,19,1,23,137,63,39,42,3,NA,8,39,46,5,8,76,7,NA,52,29,3,NA,19,155,80,NA,NA,1,NA,NA,NA,1345,378127,NA
2021-01-19,1,1,146,2,2,30,NA,17,8,5,7,37,28,8,33,126,NA,41,5,7,2,NA,55,43,NA,42,2,36,162,170,18,49,50,56,11,40,310,42,31,12,4,5,45,53,5,5,54,172,77,40,NA,NA,NA,NA,NA,2095,380222,NA
2021-01-20,22,262,694,34,1,2,1,34,71,24,10,NA,NA,62,107,62,50,40,30,198,1,20,73,48,NA,50,110,36,142,146,42,48,64,61,56,86,450,53,21,44,2,4,78,38,11,12,122,191,401,13,2,NA,NA,12,NA,4137,384359,NA
2021-01-21,1,244,571,18,3,19,6,35,47,11,30,125,NA,51,122,64,NA,148,29,24,13,6,109,55,6,45,68,32,161,100,51,47,30,139,39,128,441,74,13,48,1,1,75,46,6,12,96,179,260,18,3,NA,NA,15,NA,3865,388224,NA
2021-01-22,NA,229,764,22,4,13,4,33,48,22,24,49,21,33,95,49,23,17,20,42,3,10,81,47,11,36,71,34,272,159,35,36,45,125,23,93,422,58,7,45,3,NA,80,57,4,9,115,169,193,7,1,NA,NA,24,NA,3787,392011,NA
2021-01-23,5,169,593,20,4,1,37,38,53,12,11,NA,NA,9,96,50,NA,221,27,14,8,1,81,44,12,42,114,11,153,128,45,NA,39,122,64,42,407,65,16,NA,3,9,75,45,4,10,59,144,205,NA,1,NA,NA,12,NA,3321,395332,NA
2021-01-24,NA,68,429,23,6,1,10,30,15,3,13,NA,NA,1,39,23,NA,NA,25,7,NA,NA,31,48,9,6,3,24,129,3,31,74,20,109,60,40,208,27,23,NA,2,5,67,28,NA,6,17,162,83,NA,NA,NA,NA,2,NA,1910,397242,NA
2021-01-25,NA,1,328,7,NA,12,NA,12,3,2,2,34,NA,NA,48,12,24,35,2,5,NA,15,57,14,NA,8,2,20,153,53,32,26,5,25,5,111,72,2,4,92,7,8,45,36,3,3,21,173,55,27,1,1,NA,9,NA,1612,398854,NA
2021-01-26,1,209,409,5,59,7,34,14,59,22,16,19,25,4,85,80,NA,79,8,133,4,11,88,30,NA,54,169,32,227,142,30,26,75,56,24,192,307,79,29,23,9,16,41,62,11,4,133,165,219,16,NA,NA,NA,5,NA,3547,402401,NA
2021-01-27,1,195,697,35,3,26,16,27,46,20,7,44,NA,8,81,38,96,6,15,23,1,12,75,65,34,34,179,29,160,139,41,62,65,139,86,154,467,47,25,42,7,7,83,33,4,12,107,172,222,9,1,NA,NA,10,NA,3907,406308,NA
2021-01-28,1,176,737,17,2,7,9,28,47,6,NA,32,NA,32,103,34,NA,80,14,16,1,4,75,35,24,24,111,25,202,145,63,50,28,131,205,101,471,77,30,44,7,3,43,40,5,16,81,163,198,9,NA,NA,NA,7,NA,3759,410067,NA
2021-01-29,NA,203,617,25,1,4,17,22,37,8,35,42,NA,45,71,45,61,6,25,14,2,NA,64,48,5,49,166,23,219,130,40,39,38,111,36,44,349,40,23,26,5,3,98,39,3,14,82,151,159,10,NA,NA,NA,10,NA,3304,413371,NA
2021-01-30,NA,76,638,22,NA,NA,5,17,46,19,8,NA,NA,74,65,43,NA,104,19,9,3,1,51,33,7,33,NA,9,106,158,40,NA,35,130,65,113,332,40,9,NA,2,3,87,31,20,6,72,143,140,NA,1,NA,NA,10,NA,2823,416194,NA
2021-01-31,NA,22,481,21,3,NA,1,18,6,NA,2,NA,NA,250,40,6,NA,NA,12,NA,NA,NA,54,43,3,3,77,19,119,2,27,50,27,48,19,76,171,11,9,NA,4,8,46,20,NA,15,29,142,59,NA,1,NA,NA,5,NA,1949,418143,NA
2021-02-01,NA,4,211,4,NA,10,1,12,8,1,3,33,NA,5,16,15,30,8,1,NA,NA,NA,55,17,NA,1,NA,22,206,43,32,49,11,7,209,103,48,9,4,73,3,9,30,27,5,2,29,141,26,19,1,NA,NA,6,NA,1549,419692,NA
2021-02-02,17,238,422,9,NA,6,15,15,46,23,17,2,28,13,47,64,NA,63,8,340,NA,9,106,38,1,40,143,34,137,159,28,35,76,67,35,147,331,18,3,14,5,6,45,34,23,7,71,147,125,13,1,NA,NA,8,NA,3275,422967,NA
2021-02-03,NA,214,481,14,4,7,54,28,49,10,12,72,NA,56,69,36,86,32,19,10,NA,2,94,52,3,14,215,23,197,135,45,46,26,169,64,133,418,28,27,24,5,20,53,31,9,10,51,165,143,12,3,NA,NA,7,NA,3477,426444,NA
2021-02-04,NA,176,655,13,2,1,5,17,51,7,14,28,NA,58,69,1518,NA,74,17,19,NA,21,79,27,6,41,113,19,228,141,53,32,24,150,67,169,439,43,22,28,6,5,74,31,3,9,100,136,146,11,2,NA,NA,8,NA,4955,431399,NA
2021-02-05,NA,196,558,27,NA,11,1,23,39,4,17,33,NA,34,82,49,206,19,17,13,4,6,62,29,10,28,55,19,210,98,43,29,40,113,40,203,401,61,20,29,8,54,74,35,2,6,93,153,138,3,NA,NA,NA,6,NA,3399,434798,NA
2021-02-06,NA,63,623,17,NA,9,5,8,33,17,5,NA,NA,41,59,66,NA,97,14,12,2,10,81,51,6,32,49,11,142,178,41,NA,44,85,46,58,348,19,19,NA,7,11,59,41,2,7,78,159,157,NA,1,NA,NA,4,NA,2817,437615,NA
2021-02-07,NA,37,295,10,2,NA,2,13,24,4,3,NA,NA,NA,48,55,NA,NA,10,1,NA,NA,7,52,5,2,1,11,97,2,29,40,3,57,33,6,167,5,10,NA,5,4,76,20,1,6,25,145,71,NA,1,1,NA,10,NA,1396,439011,NA
2021-02-08,NA,7,208,2,NA,9,NA,13,2,1,2,2,NA,2,35,58,96,11,3,NA,NA,NA,36,4,NA,1,6,27,119,35,31,19,1,8,32,97,57,34,2,68,4,NA,55,23,1,2,22,115,4,24,NA,NA,NA,5,NA,1283,440294,NA
2021-02-09,1,231,327,13,NA,4,1,18,37,7,10,107,23,35,18,67,NA,60,5,6,1,10,98,53,NA,39,30,38,233,120,33,18,72,55,4,65,301,58,19,16,5,13,68,41,3,3,92,142,149,12,3,NA,NA,4,NA,2766,443060,NA
2021-02-10,NA,176,518,24,5,11,5,31,23,13,17,45,NA,29,53,52,106,12,11,12,2,8,63,30,6,35,207,25,160,118,46,35,25,135,38,100,385,19,25,28,4,23,82,33,2,7,88,138,125,11,1,NA,NA,4,1,3152,446212,NA
2021-02-11,NA,200,461,11,1,NA,NA,18,55,12,9,30,NA,22,102,26,NA,75,24,270,1,4,721,48,14,11,99,21,174,73,31,23,23,113,87,81,385,27,12,28,8,14,61,21,NA,1,79,124,115,15,1,NA,NA,4,NA,3735,449947,NA
2021-02-12,2,172,546,9,1,5,4,23,26,38,11,42,NA,27,32,86,61,10,16,11,1,12,2559,11,2,11,115,14,183,184,35,29,39,82,47,81,324,10,13,27,3,7,87,36,2,9,64,139,99,16,1,NA,NA,5,NA,5369,455316,NA
2021-02-13,NA,114,433,24,NA,7,3,14,31,43,5,NA,NA,13,53,32,NA,88,7,11,NA,NA,1204,35,7,10,46,22,118,105,19,NA,32,77,15,9,283,22,1,NA,3,11,65,32,4,4,47,127,113,NA,NA,NA,NA,7,NA,3296,458612,NA
2021-02-14,NA,30,408,10,1,NA,NA,13,15,NA,4,NA,NA,NA,35,24,NA,NA,7,2,NA,NA,6,30,6,1,NA,11,96,3,9,17,1,38,77,31,149,14,9,NA,NA,1,60,18,2,3,14,109,24,NA,NA,NA,NA,4,NA,1282,459894,NA
2021-02-15,NA,NA,200,2,NA,NA,1,9,11,NA,2,NA,NA,1,41,19,42,8,2,NA,NA,1,48,17,NA,4,2,10,155,33,8,28,2,10,31,4,66,4,2,66,1,NA,32,26,NA,2,12,103,23,44,1,NA,NA,NA,NA,1073,460967,NA
2021-02-16,5,3,64,2,NA,3,3,12,13,1,1,34,15,26,32,40,NA,19,2,3,NA,1,59,20,NA,38,9,11,220,179,24,NA,37,61,16,17,52,19,4,2,2,8,49,30,2,1,31,107,7,10,1,NA,NA,3,NA,1298,462265,NA
2021-02-17,1,82,400,10,1,11,3,12,41,5,9,50,NA,43,23,20,115,11,9,12,NA,14,60,28,NA,10,63,35,157,78,16,49,23,108,52,31,72,33,9,27,3,22,55,19,3,12,92,112,193,8,NA,NA,NA,14,NA,2256,464521,NA
2021-02-18,NA,213,417,26,1,9,3,18,31,6,7,44,NA,15,72,29,NA,85,11,225,4,7,98,23,3,18,67,8,163,104,31,13,7,96,29,72,97,16,11,20,7,6,61,30,1,2,89,116,94,15,2,NA,NA,8,NA,2530,467051,NA
2021-02-19,NA,145,420,14,2,NA,2,19,26,NA,21,19,NA,15,63,44,93,23,8,14,NA,18,82,20,6,35,123,11,218,172,23,25,3,54,48,7,172,11,12,27,1,17,36,16,1,2,63,119,67,9,NA,NA,NA,7,NA,2333,469384,NA
2021-02-20,NA,59,481,9,NA,NA,2,11,37,5,8,NA,NA,NA,42,14,NA,63,10,6,2,4,56,23,6,17,11,11,121,99,22,NA,19,76,27,51,227,91,6,NA,1,22,53,20,2,1,50,101,90,NA,3,NA,NA,9,NA,1968,471352,NA
2021-02-21,NA,25,280,5,1,NA,1,14,4,1,10,NA,NA,NA,35,35,NA,NA,9,NA,1,NA,67,26,4,NA,1,8,93,4,16,20,NA,30,57,18,130,122,7,NA,1,1,46,18,NA,1,24,75,27,NA,1,NA,NA,22,NA,1240,472592,NA
2021-02-22,1,3,233,1,NA,NA,1,11,10,NA,1,35,NA,38,34,35,29,3,1,NA,NA,NA,58,22,NA,NA,NA,5,159,56,13,10,NA,8,8,20,64,125,2,39,NA,1,26,17,NA,NA,16,90,17,90,1,NA,NA,3,NA,1278,473870,NA
2021-02-23,NA,148,225,14,NA,14,5,9,21,7,12,24,9,26,27,43,NA,34,1,170,1,3,94,24,NA,33,49,10,148,72,15,26,24,31,19,45,234,145,11,10,3,11,30,30,2,1,104,90,97,10,1,NA,NA,3,NA,2165,476035,NA
2021-02-24,NA,43,314,10,4,NA,2,14,16,32,14,31,NA,15,44,14,81,9,9,9,1,4,77,37,1,25,68,9,127,121,46,26,28,109,24,68,339,122,11,23,3,21,60,27,17,2,57,104,76,11,2,NA,NA,14,NA,2321,478356,NA
2021-02-25,NA,121,1114,8,NA,10,2,13,14,10,11,30,NA,23,32,26,NA,48,6,8,1,9,80,38,8,52,63,9,138,107,39,25,8,63,42,55,305,136,5,19,4,4,33,16,24,6,70,92,81,9,2,NA,NA,8,NA,3027,481383,NA
2021-02-26,NA,83,391,15,2,9,4,14,9,2,17,14,NA,25,54,33,11,1,12,11,1,15,58,18,7,5,28,9,146,18,29,21,25,49,26,56,290,189,1,8,4,10,46,33,NA,4,45,94,69,6,1,NA,NA,6,NA,2024,483407,NA
2021-02-27,NA,70,439,5,2,1,2,15,15,2,22,NA,NA,7,34,27,NA,68,13,7,3,4,54,59,7,13,53,9,110,60,24,NA,31,26,18,16,164,152,6,NA,1,NA,41,18,1,3,46,86,NA,NA,NA,1,NA,9,NA,1744,485151,NA
2021-02-28,NA,13,158,6,NA,NA,1,16,NA,NA,6,NA,NA,1,22,17,NA,NA,8,1,NA,NA,60,49,2,NA,NA,106,118,1,10,17,12,NA,32,18,197,145,3,NA,7,3,52,13,1,NA,14,90,84,NA,NA,NA,NA,4,NA,1073,486224,NA
2021-03-01,10,1,215,1,NA,7,NA,13,NA,4,5,13,NA,1,20,20,8,12,3,NA,NA,NA,49,50,NA,NA,2,6,147,80,15,18,NA,42,14,10,59,196,NA,29,2,NA,26,10,NA,NA,21,80,5,15,1,NA,NA,NA,NA,1208,487432,NA
2021-03-02,2,81,303,7,NA,4,15,11,10,13,9,19,11,26,47,30,NA,24,4,13,2,2,157,56,NA,28,51,8,136,61,17,16,43,34,14,15,271,144,1,7,NA,4,37,26,NA,NA,48,83,74,8,1,NA,NA,3,NA,1662,489094,NA
2021-03-03,NA,29,278,11,2,5,1,13,20,27,6,24,NA,3,43,8,73,5,16,216,1,7,NA,NA,5,18,32,7,132,140,26,16,19,75,20,23,297,319,8,20,4,14,66,14,2,5,62,75,69,9,1,NA,NA,5,NA,2271,491365,NA
2021-03-04,NA,96,273,4,NA,NA,2,16,18,32,10,20,NA,35,42,31,NA,37,13,2,NA,1,NA,NA,3,12,48,11,120,113,25,13,21,36,34,42,315,25,NA,15,1,4,42,3,NA,3,42,61,50,5,NA,NA,NA,4,NA,1680,493045,NA
2021-03-05,2,84,400,12,2,NA,4,18,15,9,5,9,NA,13,32,32,4,10,13,8,NA,20,467,NA,NA,7,23,8,135,64,19,21,19,47,37,33,256,31,9,11,3,9,25,8,1,NA,30,95,43,2,NA,2,NA,2,NA,2089,495134,NA
2021-03-06,NA,54,418,NA,1,3,2,9,16,3,5,NA,NA,3,50,36,NA,56,11,3,1,1,NA,NA,2,1,20,11,98,71,45,NA,22,56,14,9,233,41,5,NA,3,11,52,11,NA,3,36,79,55,NA,1,NA,NA,2,NA,1553,496687,NA
2021-03-07,NA,5,258,3,1,NA,NA,12,1,NA,1,NA,NA,6,13,11,NA,NA,4,NA,NA,NA,NA,NA,2,3,NA,6,63,1,13,26,3,NA,33,4,84,14,2,NA,NA,9,41,14,2,3,17,59,32,NA,NA,NA,NA,3,NA,749,497436,NA
2021-03-08,NA,NA,100,1,NA,11,NA,3,3,2,1,22,NA,1,4,5,4,4,7,NA,NA,NA,NA,NA,1,NA,NA,7,81,42,9,11,NA,33,4,9,32,13,NA,21,5,2,18,8,NA,NA,16,64,7,8,NA,NA,NA,3,NA,562,497998,NA
2021-03-09,NA,2,171,7,NA,2,4,19,14,5,13,14,9,15,14,20,NA,29,45,134,NA,NA,169,167,NA,29,35,6,125,7,18,6,26,17,3,32,167,45,1,14,1,7,20,25,17,1,45,76,40,7,3,NA,NA,1,NA,1623,499621,NA
2021-03-10,NA,78,226,6,3,9,2,9,13,2,2,23,NA,27,29,15,35,7,9,2,2,7,NA,NA,3,14,37,11,59,59,33,34,11,43,17,18,225,55,4,13,1,9,53,14,NA,2,56,61,43,3,NA,NA,NA,1,NA,1385,501006,NA
2021-03-11,NA,60,270,18,NA,5,4,6,13,11,23,7,NA,20,53,32,NA,23,19,3,3,2,NA,NA,1,NA,34,10,92,78,30,10,19,27,35,17,231,57,8,9,1,3,42,12,NA,4,46,81,51,4,NA,NA,NA,3,NA,1477,502483,NA
2021-03-12,1,55,247,3,1,3,1,4,17,3,2,16,NA,9,38,27,27,7,12,7,1,2,211,NA,2,1,26,10,105,47,27,28,19,41,11,16,212,52,173,4,NA,2,29,16,NA,4,40,74,40,4,1,NA,NA,2,NA,1626,504109,NA
2021-03-13,NA,27,43,12,1,1,NA,1,20,3,4,NA,NA,3,23,27,NA,38,4,3,2,3,NA,NA,2,13,23,10,80,41,13,NA,13,28,28,NA,156,26,8,NA,2,8,34,8,1,4,34,79,NA,NA,2,NA,NA,4,NA,746,504855,NA
2021-03-14,NA,7,140,2,1,NA,NA,2,1,NA,6,NA,NA,8,19,10,NA,NA,5,NA,NA,NA,NA,NA,3,2,NA,8,30,1,15,12,5,NA,7,NA,69,29,11,NA,1,3,30,10,NA,NA,15,63,NA,NA,NA,NA,NA,NA,NA,509,505364,NA
2021-03-15,NA,NA,95,2,NA,6,1,1,3,2,NA,12,NA,1,12,8,11,9,1,NA,NA,NA,NA,NA,NA,NA,2,6,93,47,21,14,2,18,1,1,27,42,1,23,1,3,28,7,1,NA,22,58,57,9,NA,1,NA,2,NA,649,506013,NA
2021-03-16,NA,21,42,8,NA,13,3,7,14,22,5,14,2,15,18,12,NA,27,2,40,1,1,78,87,NA,3,13,11,101,10,22,14,26,13,1,12,130,15,15,11,NA,3,16,23,NA,3,41,51,65,7,1,NA,NA,1,NA,1040,507053,NA
2021-03-17,1,12,205,1,NA,6,NA,12,12,3,5,7,NA,9,15,16,2,NA,7,8,1,1,NA,NA,3,15,33,13,55,69,24,22,7,35,39,8,179,32,19,8,2,2,44,19,NA,NA,38,54,37,5,2,NA,NA,2,NA,1089,508142,NA
2021-03-18,3,59,218,11,NA,3,10,5,10,4,4,12,NA,6,34,13,NA,25,6,6,NA,1,NA,NA,4,2,25,4,94,56,406,6,2,26,6,23,198,28,5,15,2,1,27,14,2,5,31,58,17,6,NA,NA,NA,1,NA,1494,509636,NA
2021-03-19,NA,46,232,5,1,3,3,5,4,4,17,6,NA,NA,12,15,5,15,9,4,1,3,233,NA,NA,6,24,9,53,42,176,9,7,22,24,28,158,48,30,10,1,5,43,18,1,6,27,60,35,1,NA,NA,NA,4,NA,1374,511010,NA
2021-03-20,NA,42,45,3,1,NA,5,7,10,5,2,NA,NA,2,25,5,NA,47,5,2,1,2,NA,NA,3,14,11,5,62,50,20,NA,10,15,8,NA,119,13,NA,NA,2,4,29,26,NA,4,31,62,33,NA,2,NA,NA,3,NA,735,511745,NA
2021-03-21,NA,12,46,5,1,NA,NA,NA,1,1,2,NA,NA,1,22,21,NA,NA,5,4,NA,NA,NA,NA,1,NA,NA,6,29,NA,17,NA,1,NA,25,NA,59,11,6,NA,1,3,33,12,1,NA,40,54,14,NA,NA,NA,NA,4,NA,438,512183,NA
2021-03-22,NA,NA,427,3,NA,5,NA,3,2,2,NA,9,NA,NA,22,1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,37,26,56,26,NA,16,16,4,65,10,6,9,NA,2,27,14,NA,NA,7,46,1,9,NA,NA,NA,NA,NA,863,513046,NA
2021-03-23,2,53,51,4,NA,5,5,11,14,2,15,3,2,8,13,16,NA,16,7,55,2,2,41,NA,NA,11,11,5,41,16,14,6,21,18,2,34,80,13,1,4,1,3,20,11,2,1,61,53,39,2,1,NA,NA,2,NA,800,513846,NA
2021-03-24,NA,44,254,3,3,1,12,6,15,1,5,14,NA,6,20,15,31,16,9,5,1,13,NA,62,1,10,29,9,30,70,42,7,4,40,21,45,178,6,6,7,2,NA,54,19,NA,10,30,73,48,NA,2,NA,NA,2,NA,1281,515127,NA
2021-03-25,1,32,241,5,1,2,4,7,12,2,6,13,NA,19,35,8,NA,49,12,1,1,9,NA,NA,3,2,14,6,107,79,96,13,6,93,29,4,132,4,5,10,NA,1,39,3,NA,1,38,45,41,1,1,NA,NA,3,NA,1236,516363,NA
2021-03-26,NA,24,245,4,NA,NA,NA,7,11,3,3,5,NA,8,32,20,10,20,7,3,1,16,142,NA,1,2,19,4,159,81,30,7,11,41,10,20,118,7,4,3,2,NA,40,15,NA,2,28,49,36,1,1,NA,NA,3,1,1252,517615,NA
2021-03-27,NA,14,215,3,4,NA,1,2,10,2,10,NA,NA,2,25,9,NA,22,4,2,NA,NA,NA,NA,5,1,3,7,26,70,13,NA,2,NA,11,NA,107,22,3,NA,1,8,35,14,5,4,24,76,33,NA,NA,NA,NA,3,NA,798,518413,NA
2021-03-28,NA,6,195,3,NA,NA,NA,NA,NA,NA,13,NA,NA,7,23,12,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6,36,NA,5,NA,1,NA,11,NA,63,17,3,NA,NA,NA,29,5,NA,2,7,64,15,NA,1,NA,NA,3,NA,531,518944,NA
2021-03-29,NA,NA,32,NA,NA,3,NA,NA,1,NA,NA,8,NA,4,5,5,11,8,5,NA,NA,NA,NA,NA,NA,3,NA,5,69,36,8,21,NA,57,NA,50,13,17,4,18,3,7,15,9,NA,NA,15,60,14,5,NA,NA,NA,NA,NA,511,519455,NA
2021-03-30,NA,23,10,7,NA,NA,1,7,2,6,4,11,NA,NA,17,10,NA,48,1,55,NA,2,81,NA,2,11,4,10,91,10,19,9,12,2,3,28,109,20,2,2,2,7,18,13,2,NA,82,61,34,5,NA,NA,NA,NA,NA,843,520298,NA
2021-03-31,NA,26,148,8,1,5,NA,5,10,2,4,10,5,14,28,1,11,10,12,3,NA,3,NA,103,NA,10,21,4,87,74,22,5,19,25,19,10,126,12,36,1,3,NA,36,13,5,1,42,62,44,1,2,NA,NA,1,NA,1090,521388,NA
2021-04-01,NA,10,154,10,NA,1,1,5,7,2,3,15,NA,8,25,9,NA,49,10,1,NA,1,NA,NA,3,3,1,5,69,57,17,15,16,24,12,11,118,12,7,14,2,NA,32,17,1,7,30,57,27,5,NA,NA,NA,4,NA,877,522265,NA
2021-04-02,NA,12,179,1,NA,3,16,7,4,NA,6,16,NA,3,23,20,19,20,3,2,NA,NA,35,NA,NA,8,37,3,92,63,19,NA,3,NA,5,NA,117,12,5,4,3,6,32,16,NA,NA,24,65,28,6,1,2,NA,3,NA,923,523188,NA
2021-04-03,NA,2,135,6,4,NA,11,NA,14,6,1,NA,NA,68,12,5,NA,57,10,3,NA,NA,NA,NA,NA,7,24,2,66,21,19,NA,4,NA,13,NA,86,8,5,NA,1,NA,30,23,1,2,17,61,40,NA,1,NA,NA,3,NA,768,523956,NA
2021-04-04,NA,1,109,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,22,1,NA,NA,NA,NA,NA,NA,21,40,2,NA,NA,1,NA,8,NA,2,5,60,7,NA,NA,NA,NA,NA,NA,294,524250,NA
2021-04-05,NA,NA,21,NA,NA,2,NA,4,1,2,1,7,NA,NA,11,1,5,21,10,NA,NA,NA,NA,NA,NA,1,NA,5,36,NA,21,4,NA,37,6,14,3,25,1,19,2,NA,43,12,1,NA,12,57,5,1,NA,NA,NA,4,NA,383,524633,NA
2021-04-06,NA,6,7,6,NA,6,11,8,22,33,4,14,1,13,11,11,NA,58,3,4,2,2,98,NA,NA,8,3,4,70,12,13,12,18,16,1,38,73,17,11,7,2,1,12,15,NA,NA,51,48,37,3,NA,NA,NA,7,NA,799,525432,NA
2021-04-07,NA,27,118,7,NA,6,12,2,11,7,2,7,NA,1,28,15,5,30,18,1,NA,NA,NA,1716,NA,5,NA,5,42,66,13,8,4,23,6,9,99,3,15,5,2,NA,21,11,1,1,44,61,48,3,1,NA,NA,1,NA,2510,527942,NA
2021-04-08,NA,32,129,4,3,9,5,11,5,5,10,10,NA,7,34,16,NA,73,12,1,NA,24,NA,NA,1,14,17,2,84,59,15,11,5,12,20,21,92,23,13,5,1,1,8,21,1,1,34,48,42,1,NA,NA,NA,1,NA,943,528885,NA
2021-04-09,NA,7,155,7,NA,4,27,2,10,1,8,6,NA,6,19,16,6,26,10,NA,2,12,75,NA,7,5,8,1,62,44,9,10,4,24,6,4,96,13,2,4,2,5,9,14,2,2,43,58,35,2,1,NA,NA,5,NA,874,529759,NA
2021-04-10,NA,30,170,5,1,NA,2,NA,9,NA,2,NA,NA,8,13,7,NA,74,11,5,1,1,NA,NA,NA,4,22,NA,46,52,18,NA,9,NA,16,NA,76,12,5,NA,2,4,3,20,NA,3,33,58,40,NA,NA,NA,NA,5,NA,767,530526,NA
2021-04-11,NA,6,105,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,8,NA,1,NA,5,NA,26,13,3,NA,NA,1,8,11,NA,1,11,53,3,NA,NA,NA,NA,1,NA,292,530818,NA
2021-04-12,1,NA,31,NA,NA,3,1,3,NA,1,NA,7,NA,NA,18,3,8,12,2,NA,NA,1,NA,NA,1,3,NA,3,35,35,7,13,NA,42,NA,14,8,14,NA,13,3,3,19,15,1,NA,26,59,1,NA,2,NA,NA,1,NA,393,531211,NA
2021-04-13,NA,19,9,11,NA,4,2,9,7,5,2,11,2,NA,17,16,NA,74,3,107,2,5,91,NA,NA,10,3,2,64,16,4,10,23,15,12,7,54,17,2,17,1,6,7,14,2,NA,49,59,66,2,NA,NA,NA,7,NA,865,532076,NA
2021-04-14,NA,4,114,4,2,6,NA,8,14,3,NA,17,NA,NA,30,20,14,33,16,3,1,NA,NA,28,1,5,4,2,44,39,20,9,3,20,15,10,68,4,9,10,3,3,14,9,4,4,42,44,50,2,4,NA,NA,12,NA,771,532847,NA
2021-04-15,19,14,136,5,NA,9,2,1,6,6,1,5,NA,13,39,7,NA,112,11,5,1,21,NA,NA,1,3,7,2,74,58,13,3,5,34,2,9,84,21,16,6,2,4,5,19,1,3,47,46,44,4,3,NA,NA,6,NA,893,533740,NA
2021-04-16,NA,30,79,9,1,2,9,4,6,2,2,18,NA,8,21,14,9,40,6,4,3,NA,79,NA,3,5,3,NA,92,50,10,4,12,28,1,8,83,17,5,5,3,1,13,16,5,2,41,44,56,1,2,NA,NA,2,1,859,534599,NA
2021-04-17,NA,2,103,2,NA,NA,8,NA,NA,3,NA,NA,NA,3,23,5,NA,69,10,1,1,8,NA,NA,1,8,42,NA,74,34,12,NA,14,NA,13,NA,65,12,3,NA,2,5,10,17,1,NA,40,59,39,NA,NA,NA,NA,10,NA,695,535294,NA
2021-04-18,NA,2,78,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,7,NA,NA,14,NA,NA,NA,NA,NA,NA,2,NA,1,35,NA,7,NA,NA,NA,14,NA,38,17,5,NA,1,NA,7,17,1,4,9,35,27,NA,NA,NA,NA,6,NA,345,535639,NA
2021-04-19,NA,NA,4,2,NA,5,NA,6,3,NA,2,14,NA,5,22,3,2,61,6,NA,NA,2,NA,NA,NA,1,NA,4,32,27,6,9,NA,31,13,32,9,11,NA,19,NA,NA,18,11,2,NA,18,45,NA,4,NA,NA,NA,3,NA,432,536071,NA
2021-04-20,NA,40,32,10,NA,NA,6,3,9,NA,8,13,2,7,9,8,NA,85,5,49,3,7,35,NA,NA,8,9,5,62,9,11,9,8,19,2,15,57,27,4,6,1,1,3,19,NA,1,45,45,79,3,NA,NA,NA,6,NA,785,536856,NA
2021-04-21,NA,6,86,4,NA,6,5,10,11,6,3,15,NA,6,28,14,6,45,12,5,2,7,NA,19,1,3,9,2,83,22,11,8,2,43,10,15,82,11,11,7,NA,NA,13,13,1,2,46,54,60,4,1,NA,NA,8,NA,818,537674,NA
2021-04-22,NA,22,102,10,2,NA,NA,3,12,1,1,6,NA,5,33,4,NA,108,10,2,NA,3,NA,NA,2,4,15,3,80,32,8,3,10,25,19,19,69,10,8,12,1,1,17,20,1,1,30,49,52,2,NA,NA,NA,12,NA,829,538503,NA
2021-04-23,NA,17,94,6,1,3,2,1,22,9,1,6,NA,3,22,4,7,29,10,1,2,9,94,NA,1,13,13,4,63,33,17,12,2,18,12,12,69,13,5,8,1,5,13,8,2,7,27,45,59,NA,NA,NA,NA,8,NA,813,539316,NA
2021-04-24,NA,22,49,18,1,NA,4,NA,NA,8,1,NA,NA,20,25,13,NA,121,8,2,NA,1,NA,NA,1,19,9,1,53,45,29,NA,NA,NA,11,NA,49,9,4,NA,NA,6,12,15,1,1,39,34,45,NA,1,NA,NA,16,NA,693,540009,NA
2021-04-25,NA,8,53,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,24,3,NA,NA,7,1,NA,NA,NA,NA,NA,1,NA,1,36,5,10,NA,NA,NA,15,NA,20,14,4,NA,NA,1,6,13,NA,2,13,51,5,NA,NA,NA,NA,1,NA,297,540306,NA
2021-04-26,12,NA,15,4,NA,3,NA,3,11,1,1,16,NA,NA,10,6,2,35,NA,NA,NA,NA,NA,NA,2,NA,1,1,64,34,7,3,3,37,3,10,7,18,NA,19,NA,1,12,8,NA,2,19,41,NA,3,NA,NA,NA,NA,NA,414,540720,NA
