"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","WV","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","MP","PR","VI","Conf_New","Conf_Cml","deaths_New","deaths_Cml","Rec_New","Rec_Cml","Active","time_last_update"
2021-03-10,145,830,6412,1240,46,456,150,249,325,284,658,596,37,773,1682,856,778,2316,719,449,101,308,1156,818,172,516,488,317,4853,1157,643,397,437,1114,571,1355,3331,838,199,512,96,212,1413,900,128,211,3008,6489,1918,318,85,4,NA,58,6,53130,27222758,1385,501006,90592,20640270,6081482,NA
2021-03-11,228,1835,3184,955,58,364,181,233,618,353,646,672,88,473,1700,910,NA,2091,922,530,111,303,991,694,154,502,422,340,5065,1209,917,328,679,1473,407,1512,3580,879,266,735,122,789,1589,924,119,301,3157,6747,2078,525,129,2,NA,32,6,53128,27275886,1477,502483,157028,20797298,5976105,NA
2021-03-12,107,1367,3471,1291,64,333,132,264,858,393,519,494,38,492,1763,949,519,2403,926,508,121,272,1342,422,126,550,327,459,5214,1185,636,449,763,1417,1089,1543,4967,1091,213,1185,154,231,1577,990,133,310,3505,9299,2108,382,123,9,NA,353,NA,59436,27335322,1626,504109,1233922,22031220,4799993,NA
2021-03-13,NA,262,3230,1242,63,293,170,183,442,355,491,809,NA,427,1675,836,NA,1659,989,451,95,302,902,625,123,462,394,314,5244,1031,475,NA,690,521,1065,NA,3977,907,207,NA,150,245,1548,1101,114,245,3184,6600,2115,NA,75,1,1,120,NA,46410,27381732,746,504855,77376,22108596,4768281,NA
2021-03-14,NA,649,2772,1215,51,NA,34,144,222,225,396,NA,NA,283,1484,695,NA,NA,814,330,34,174,663,492,87,274,282,130,3699,788,353,702,203,NA,525,NA,2284,758,230,NA,79,225,1508,860,78,296,2802,5943,1672,NA,192,NA,7,186,NA,34840,27416572,509,505364,60641,22169237,4741971,NA
2021-03-15,373,638,2460,422,46,421,173,177,184,171,221,918,132,295,782,413,470,3143,765,235,25,115,787,310,20,294,1193,117,2826,860,314,138,101,2874,405,3143,1900,735,148,2525,112,233,1004,617,98,198,2448,5807,1249,985,102,5,NA,148,NA,44275,27460847,649,506013,117314,22286551,4668283,NA
2021-03-16,101,497,1260,322,47,350,411,176,346,262,481,474,15,443,1997,561,NA,2048,556,376,149,350,1040,232,111,480,479,396,4791,1099,484,611,369,745,407,1342,4458,843,211,853,107,137,1018,658,82,257,3062,6508,2112,263,55,NA,3,184,NA,44619,27505466,1040,507053,53838,22340389,4658024,NA
2021-03-17,170,445,2441,626,69,454,140,243,301,209,699,742,85,488,1655,902,686,3164,793,407,134,111,955,491,130,318,622,325,4599,1127,603,280,352,1102,801,1826,4284,830,192,373,81,372,1640,917,148,297,3521,8976,2341,434,59,3,1,58,NA,53020,27558486,1089,508142,106886,22447275,4603069,NA
2021-03-18,152,284,3038,1242,88,341,132,251,297,363,560,711,25,498,2325,958,NA,2629,1223,478,119,325,1434,559,172,490,480,264,5093,1253,473,396,322,1520,921,661,3890,1367,276,1156,81,302,1857,1113,168,335,3735,7796,2276,432,141,4,1,31,NA,55038,27613524,1494,509636,76524,22523799,4580089,NA
2021-03-19,65,423,3287,1782,99,383,152,216,265,372,447,729,98,522,2380,859,606,3730,1217,379,111,275,1089,416,271,390,388,228,5140,1261,468,107,392,1424,681,1997,2678,1029,270,1207,142,210,1887,1152,127,294,3653,8262,2712,423,146,NA,NA,265,NA,57106,27670630,1374,511010,86526,22610325,4549295,NA
2021-03-20,NA,735,3107,1466,86,235,198,186,271,326,467,791,NA,366,1962,888,NA,2660,1149,348,88,432,1051,NA,168,402,468,274,5105,1167,437,NA,361,1465,825,NA,2511,1033,282,NA,141,307,1880,1118,141,320,3937,7623,2848,NA,162,NA,NA,149,NA,49936,27720566,735,511745,73292,22683617,4525204,NA
2021-03-21,NA,488,3350,802,79,NA,94,171,227,211,375,NA,NA,318,1431,770,NA,NA,804,261,49,142,706,NA,105,420,279,108,3987,890,229,NA,160,NA,694,NA,1749,756,248,NA,54,345,1678,1007,86,227,2583,7938,1841,NA,185,NA,NA,285,NA,36132,27756698,438,512183,70635,22754252,4490263,NA
2021-03-22,348,484,2000,304,78,340,38,162,156,175,159,1052,112,224,1220,511,615,4801,1009,173,50,183,897,959,86,338,184,52,2862,534,197,963,95,2368,355,3024,1728,797,193,2976,154,142,1103,682,163,207,2593,6361,1432,1000,99,4,NA,205,NA,46947,27803645,863,513046,91751,22846003,4444596,NA
2021-03-23,172,507,1823,1370,41,359,354,171,147,310,383,449,50,516,1832,663,NA,3579,683,355,164,136,898,184,110,353,81,239,5302,1045,527,393,306,698,505,1459,3431,738,194,898,105,180,1476,722,101,382,3397,6801,2399,297,94,2,1,173,109,47664,27851309,800,513846,193582,23039585,4297878,NA
2021-03-24,218,605,1955,1216,58,425,214,211,246,368,562,765,67,755,2793,967,802,4454,1021,392,136,232,1252,501,215,776,634,231,5143,840,432,227,387,1208,459,1388,3285,813,244,1457,107,210,1865,1173,172,389,3120,7278,3292,471,95,3,NA,112,1,56242,27907551,1281,515127,93294,23132879,4259545,NA
2021-03-25,145,138,2251,1373,121,343,164,216,444,422,527,941,24,669,2190,952,NA,5224,1547,448,197,288,1052,369,193,537,307,334,5773,1185,430,277,317,1485,682,1519,2337,944,311,1489,74,219,2274,1382,149,518,3421,8081,2855,483,187,5,1,41,11,57866,27965417,1236,516363,63330,23196209,4252845,NA
2021-03-26,182,571,2608,1409,122,317,150,225,445,489,453,928,116,821,3002,1101,506,5030,1442,479,184,440,1860,467,156,434,302,184,5750,1060,361,301,268,1508,722,781,4584,1125,357,1699,156,287,2301,1361,76,335,4256,8507,3572,485,283,2,NA,150,13,64723,28030140,1252,517615,79059,23275268,4237257,NA
2021-03-27,NA,776,3278,1295,113,224,117,171,302,407,460,1183,NA,489,2678,977,NA,4670,1450,348,154,451,1170,NA,188,450,364,165,5883,1054,360,NA,210,NA,814,NA,2412,1400,401,NA,226,376,2362,1366,164,371,3806,8201,3291,NA,125,1,NA,289,6,54998,28085138,798,518413,73236,23348504,4218221,NA
2021-03-28,NA,554,2998,957,102,NA,31,161,143,250,389,NA,NA,444,2250,944,NA,NA,979,263,47,306,1009,NA,122,428,229,69,4943,748,270,NA,196,NA,689,NA,2041,946,208,NA,124,361,1817,1335,103,282,3890,9395,2644,NA,197,3,NA,237,NA,43104,28128242,531,518944,62380,23410884,4198414,NA
2021-03-29,NA,604,2277,807,103,335,35,182,212,212,194,1103,114,256,1761,713,429,8202,1453,193,56,129,934,882,74,296,193,79,3374,806,205,593,79,4166,526,2900,2338,835,257,3229,73,340,1464,1031,157,313,3143,7622,2184,644,182,4,NA,313,NA,58606,28186848,511,519455,98336,23509220,4158173,NA
2021-03-30,623,586,1996,957,70,313,158,147,221,406,371,610,33,580,2404,720,NA,5177,1007,319,241,359,1394,121,120,588,284,178,5062,893,380,318,163,765,369,837,3210,991,231,1617,165,171,1683,903,112,374,4084,6488,4037,346,107,1,NA,333,11,53634,28240482,843,520298,77576,23586796,4133388,NA
2021-03-31,158,733,1962,1763,100,460,231,275,268,442,514,990,69,537,2592,1044,510,6311,1346,407,211,434,1339,390,193,563,300,212,5294,1089,485,325,288,1259,604,1313,3453,598,276,832,100,229,2252,1366,118,462,2691,8382,3416,564,166,2,NA,98,10,60026,28300508,1090,521388,86666,23673462,4105658,NA
2021-04-01,232,381,2234,1604,113,361,173,293,350,512,487,908,81,796,3526,1216,NA,6036,1728,407,208,550,1824,413,172,517,313,211,6790,878,669,334,271,1490,508,1772,2515,1262,381,1580,143,386,2455,1584,184,363,4646,8888,3499,519,248,3,NA,253,3,67270,28367778,877,522265,80929,23754391,4091122,NA
2021-04-02,195,940,2414,1645,133,284,128,207,342,489,422,1194,51,589,3235,1203,501,5498,2064,540,161,1343,1101,372,162,875,267,144,6490,1143,443,NA,284,NA,668,NA,2642,1010,262,1488,151,402,2160,1457,258,471,3933,7787,3370,407,232,2,NA,328,8,61895,28429673,923,523188,71244,23825635,4080850,NA
2021-04-03,NA,706,4877,1571,112,NA,184,NA,462,467,447,1053,NA,490,2839,1049,NA,8413,1802,327,117,331,1741,NA,132,706,226,217,6017,770,283,NA,290,NA,698,NA,1428,1060,305,NA,125,487,2263,1275,192,438,3756,7846,3937,NA,150,4,NA,623,NA,60216,28489889,768,523956,68950,23894585,4071348,NA
2021-04-04,NA,464,2400,1220,96,NA,105,NA,260,402,344,NA,NA,406,2449,945,NA,NA,NA,279,61,242,NA,NA,NA,584,153,84,4794,653,NA,NA,97,NA,NA,NA,1495,934,230,NA,105,299,NA,1457,175,398,3281,7467,3383,NA,244,NA,NA,470,NA,35976,28526077,294,524250,52118,23946703,4055124,NA
2021-04-05,483,608,2112,867,93,318,NA,443,181,246,173,1388,74,264,2102,715,354,10293,1113,206,76,146,2303,873,125,307,89,44,3480,501,434,886,70,4851,734,3408,904,747,125,2699,75,201,2912,859,138,279,2457,6583,2301,918,118,7,NA,306,6,61995,28588072,383,524633,76815,24023518,4039921,NA
2021-04-06,79,570,1367,1266,59,683,191,178,295,530,300,516,71,521,2931,615,NA,4964,2670,309,260,299,1148,120,134,886,119,163,5556,967,186,173,183,749,775,986,4143,1113,201,1074,122,229,1566,867,181,385,3222,5748,3161,376,106,2,NA,87,1,53403,28641475,799,525432,98703,24122221,3993822,NA
2021-04-07,215,750,2229,1913,76,349,193,216,277,470,612,1103,54,757,3790,1212,540,8015,1500,458,193,528,1468,1764,212,727,222,244,5885,961,549,276,270,1057,414,1497,3675,1057,215,1038,94,236,2292,1471,253,425,3493,7213,3213,476,69,3,1,67,8,66295,28707770,2510,527942,84318,24206539,3973289,NA
2021-04-08,223,670,2093,1886,122,310,224,258,386,667,483,908,83,631,3739,1384,NA,7819,1997,448,197,403,1865,483,171,1046,296,199,7939,1120,400,310,240,1488,528,1460,3707,1496,332,1012,170,362,1938,1297,198,506,3616,8379,3871,509,227,2,NA,232,17,70347,28778117,943,528885,66330,24272869,3976363,NA
2021-04-09,243,1302,2606,1935,86,312,224,121,637,543,444,1286,65,618,4004,1339,469,7834,2215,475,124,386,1371,416,195,1092,226,178,7121,1005,494,446,243,1587,686,1120,2464,1000,392,1807,136,380,2184,1840,257,537,3465,9014,4072,563,146,3,NA,673,17,72398,28850515,874,529759,73897,24346766,3973990,NA
2021-04-10,NA,819,4466,1455,113,NA,168,NA,752,747,407,1223,NA,439,3630,1358,NA,6892,2183,426,213,436,1441,NA,175,804,209,171,6906,1019,258,NA,238,NA,652,NA,2295,1247,324,NA,128,419,2107,1584,226,468,2922,7283,4317,NA,150,2,NA,1000,10,62082,28912597,767,530526,76823,24423589,3958482,NA
2021-04-11,NA,540,4954,1235,92,NA,41,NA,320,483,344,NA,NA,436,2942,1159,NA,NA,1510,281,44,197,1594,NA,NA,569,200,100,5520,725,275,NA,117,NA,591,NA,1558,926,306,NA,68,367,1831,1483,143,408,2870,6764,2536,NA,237,2,NA,680,NA,44448,28957045,292,530818,56933,24480522,3945705,NA
2021-04-12,386,675,2649,912,70,538,70,619,319,282,185,1451,96,232,2433,1131,483,9674,1667,198,63,144,1468,968,135,402,118,69,1613,583,241,722,70,4274,459,2829,1491,996,192,2985,73,355,1376,985,198,375,2062,4926,2791,NA,89,5,NA,756,7,57890,29014935,393,531211,80334,24560856,3922868,NA
2021-04-13,134,610,1568,1904,63,219,173,177,412,548,358,756,58,402,3193,952,NA,8867,1217,429,231,331,1418,109,194,922,266,224,9068,1094,425,323,317,896,455,1457,5237,1217,250,1118,113,210,1401,1084,368,376,3294,5029,4215,1677,97,5,NA,769,5,66235,29081170,865,532076,65554,24626410,3922684,NA
2021-04-14,195,419,2487,2324,71,437,205,214,395,808,530,1054,46,664,3536,1196,601,7955,1421,540,176,392,1465,406,167,929,207,220,6772,1081,436,259,275,1564,476,1208,2409,803,285,1609,193,380,2004,1552,317,378,2793,6192,3224,477,100,4,NA,822,12,64685,29145855,771,532847,69751,24696161,3916847,NA
2021-04-15,185,460,2016,1500,95,210,192,227,549,725,456,1186,61,550,3581,1374,NA,6303,2179,613,165,309,1583,302,177,943,230,283,6762,932,542,511,410,1821,656,1535,2924,1032,332,702,106,400,1884,1444,386,542,3365,6884,3624,489,176,5,1,241,6,64166,29210021,893,533740,74819,24770980,3905301,NA
2021-04-16,184,845,2451,2260,96,212,118,263,536,695,463,1735,53,466,3866,1287,541,8955,1944,466,177,409,1415,273,254,709,261,237,7296,1151,407,321,216,1854,916,1370,2371,1251,368,1062,134,407,1962,1564,393,385,3764,6555,4698,409,139,3,1,738,11,70917,29280938,859,534599,65207,24836187,3910152,NA
2021-04-17,NA,480,2763,1450,99,NA,148,NA,NA,875,413,1470,NA,NA,3194,2479,NA,5530,2009,381,139,505,1475,NA,116,727,300,221,6323,1185,366,NA,292,NA,641,NA,1814,1175,349,NA,130,455,1694,1500,229,369,3429,8235,4085,NA,66,6,NA,1298,2,58417,29339355,695,535294,69145,24905332,3898729,NA
2021-04-18,NA,711,2667,1261,111,NA,56,NA,NA,620,248,NA,NA,753,2666,956,NA,NA,1567,254,58,176,854,NA,NA,518,193,45,6834,702,186,NA,157,NA,602,NA,1507,942,279,NA,83,381,1265,1169,222,307,2760,5704,3148,NA,147,4,NA,828,NA,40941,29380296,345,535639,55897,24961229,3883428,NA
2021-04-19,430,692,1916,777,65,458,57,610,698,471,200,1218,88,156,1959,712,429,8574,1138,189,51,140,1204,787,103,373,91,59,4237,725,158,1241,37,4458,522,5358,1094,682,188,2339,78,389,1236,631,163,197,1928,4339,1813,817,96,10,NA,980,NA,57361,29437657,432,536071,82234,25043463,3858123,"2021-04-21 02:26:46"
