"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9085","43"
"Hispanic/Latino","American Indian/Alaska Native","601","3"
"Hispanic/Latino","Asian","1041","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","643","4"
"Hispanic/Latino","Other","60218","485"
"Hispanic/Latino","Unknown","37516","8"
"Hispanic/Latino","White","87050","909"
"Non-Hispanic/Latino","African-American/Black","503538","9772"
"Non-Hispanic/Latino","American Indian/Alaska Native","1109","29"
"Non-Hispanic/Latino","Asian","43137","503"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1357","15"
"Non-Hispanic/Latino","Other","34287","155"
"Non-Hispanic/Latino","Unknown","18776","6"
"Non-Hispanic/Latino","White","696664","17630"
"Unknown","African-American/Black","43989","15"
"Unknown","American Indian/Alaska Native","714","0"
"Unknown","Asian","7419","2"
"Unknown","Native Hawaiian/Pacific Islander","421","0"
"Unknown","Other","33886","9"
"Unknown","Unknown","275114","102"
"Unknown","White","54768","33"
