Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,716,12
Hispanic/Latino,American Indian/Alaska Native,57,1
Hispanic/Latino,Asian,75,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,84,0
Hispanic/Latino,Other,12430,139
Hispanic/Latino,Unknown,5091,5
Hispanic/Latino,White,16384,191
Non-Hispanic/Latino,African-American/Black,58865,2400
Non-Hispanic/Latino,American Indian/Alaska Native,108,5
Non-Hispanic/Latino,Asian,2864,102
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,161,6
Non-Hispanic/Latino,Other,2889,16
Non-Hispanic/Latino,Unknown,2224,29
Non-Hispanic/Latino,White,61304,2722
Unknown,African-American/Black,11061,24
Unknown,American Indian/Alaska Native,51,0
Unknown,Asian,986,0
Unknown,Native Hawaiian/Pacific Islander,121,2
Unknown,Other,4671,5
Unknown,Unknown,79919,55
Unknown,White,12636,19
