"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9096","43"
"Hispanic/Latino","American Indian/Alaska Native","602","3"
"Hispanic/Latino","Asian","1045","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","643","4"
"Hispanic/Latino","Other","60248","489"
"Hispanic/Latino","Unknown","37549","8"
"Hispanic/Latino","White","87172","911"
"Non-Hispanic/Latino","African-American/Black","504877","9815"
"Non-Hispanic/Latino","American Indian/Alaska Native","1107","29"
"Non-Hispanic/Latino","Asian","43310","504"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1362","15"
"Non-Hispanic/Latino","Other","34312","165"
"Non-Hispanic/Latino","Unknown","18775","6"
"Non-Hispanic/Latino","White","698976","17735"
"Unknown","African-American/Black","43926","15"
"Unknown","American Indian/Alaska Native","728","0"
"Unknown","Asian","7434","2"
"Unknown","Native Hawaiian/Pacific Islander","421","0"
"Unknown","Other","33892","10"
"Unknown","Unknown","272987","103"
"Unknown","White","54709","32"
