"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1147","US-13001","13","1","18561","102","36","6179.62","193.96","307.1","57"
"Atkinson","476","US-13003","13","3","8330","62","5","5714.29","60.02","276.11","23"
"Bacon","629","US-13005","13","5","11404","48","15","5515.61","131.53","157.84","18"
"Baker","89","US-13007","13","7","3116","20","6","2856.23","192.55","96.28","3"
"Baldwin","2267","US-13009","13","9","44428","177","63","5102.64","141.8","200.32","89"
"Banks","544","US-13011","13","11","19982","72","8","2722.45","40.04","130.12","26"
"Barrow","2528","US-13013","13","13","86383","261","50","2926.5","57.88","191.01","165"
"Bartow","3484","US-13015","13","15","110771","327","94","3145.23","84.86","332.22","368"
"Ben Hill","859","US-13017","13","17","16645","92","34","5160.71","204.27","240.31","40"
"Berrien","484","US-13019","13","19","19276","25","12","2510.89","62.25","93.38","18"
"Bibb","6520","US-13021","13","21","152150","901","190","4285.24","124.88","197.17","300"
"Bleckley","503","US-13023","13","23","12838","33","23","3918.06","179.16","467.36","60"
"Brantley","419","US-13025","13","25","19202","38","13","2182.06","67.7","296.84","57"
"Brooks","549","US-13027","13","27","15727","55","27","3490.81","171.68","108.09","17"
"Bryan","1285","US-13029","13","29","39137","92","14","3283.34","35.77","219.74","86"
"Bulloch","3037","US-13031","13","31","79467","139","33","3821.71","41.53","118.29","94"
"Burke","873","US-13033","13","33","22342","90","12","3907.44","53.71","102.95","23"
"Butts","728","US-13035","13","35","25174","55","43","2891.87","170.81","111.23","28"
"Calhoun","263","US-13037","13","37","6317","48","9","4163.37","142.47","189.96","12"
"Camden","1393","US-13039","13","39","53924","69","17","2583.27","31.53","94.58","51"
"Candler","529","US-13043","13","43","10837","35","24","4881.42","221.46","415.24","45"
"Carroll","3243","US-13045","13","45","120119","177","75","2699.82","62.44","174.83","210"
"Catoosa","1368","US-13047","13","47","68771","81","21","1989.21","30.54","143.96","99"
"Charlton","644","US-13049","13","49","13251","27","10","4860.01","75.47","45.28","6"
"Chatham","9245","US-13051","13","51","292176","822","186","3164.19","63.66","149.23","436"
"Chattahoochee","1735","US-13053","13","53","10749","14","1","16141.04","9.3","353.52","38"
"Chattooga","902","US-13055","13","55","24766","64","28","3642.09","113.06","290.72","72"
"Cherokee","6881","US-13057","13","57","266617","525","100","2580.86","37.51","175.16","467"
"Clarke","5624","US-13059","13","59","129779","240","46","4333.52","35.44","225","292"
"Clay","124","US-13061","13","61","2855","9","3","4343.26","105.08","35.03","1"
"Clayton","7983","US-13063","13","63","304838","683","175","2618.77","57.41","139.09","424"
"Clinch","436","US-13065","13","65","6656","30","12","6550.48","180.29","225.36","15"
"Cobb","21453","US-13067","13","67","790588","1955","449","2713.55","56.79","122.31","967"
"Coffee","2215","US-13069","13","69","43042","322","60","5146.14","139.4","181.22","78"
"Colquitt","2097","US-13071","13","71","45393","165","39","4619.66","85.92","308.42","140"
"Columbia","4253","US-13073","13","73","158631","196","64","2681.06","40.35","198.57","315"
"Cook","578","US-13075","13","75","17437","61","16","3314.79","91.76","103.23","18"
"Coweta","2893","US-13077","13","77","152001","143","63","1903.28","41.45","92.1","140"
"Crawford","191","US-13079","13","79","12228","29","6","1561.99","49.07","106.31","13"
"Crisp","635","US-13081","13","81","22289","83","23","2848.94","103.19","170.49","38"
"Dade","337","US-13083","13","83","16162","21","5","2085.14","30.94","222.74","36"
"Dawson","900","US-13085","13","85","27021","85","10","3330.74","37.01","162.84","44"
"DeKalb","20583","US-13089","13","89","793154","2286","393","2595.08","49.55","122.67","973"
"Decatur","1273","US-13087","13","87","26322","101","34","4836.26","129.17","151.96","40"
"Dodge","563","US-13091","13","91","20385","50","14","2761.83","68.68","573.95","117"
"Dooly","364","US-13093","13","93","13400","55","16","2716.42","119.4","111.94","15"
"Dougherty","3282","US-13095","13","95","89905","669","190","3650.52","211.33","82.31","74"
"Douglas","4002","US-13097","13","97","151906","458","72","2634.52","47.4","140.88","214"
"Early","537","US-13099","13","99","10146","43","35","5292.73","344.96","187.27","19"
"Echols","244","US-13101","13","101","3969","9","2","6147.64","50.39","25.2","1"
"Effingham","1745","US-13103","13","103","64026","111","27","2725.46","42.17","312.37","200"
"Elbert","758","US-13105","13","105","18945","57","9","4001.06","47.51","258.64","49"
"Emanuel","1176","US-13107","13","107","22664","83","36","5188.85","158.84","207.38","47"
"Evans","475","US-13109","13","109","10687","42","6","4444.65","56.14","299.43","32"
"Fannin","802","US-13111","13","111","26320","69","28","3047.11","106.38","265.96","70"
"Fayette","2087","US-13113","13","113","117544","124","56","1775.51","47.64","97.84","115"
"Floyd","3785","US-13115","13","115","99916","285","57","3788.18","57.05","393.33","393"
"Forsyth","4607","US-13117","13","117","252507","353","52","1824.5","20.59","80.39","203"
"Franklin","862","US-13119","13","119","23329","66","17","3694.97","72.87","321.49","75"
"Fulton","30264","US-13121","13","121","1099181","2576","613","2753.32","55.77","132.64","1458"
"Gilmer","1004","US-13123","13","123","31417","90","22","3195.72","70.03","346.95","109"
"Glascock","46","US-13125","13","125","3025","4","2","1520.66","66.12","198.35","6"
"Glynn","3666","US-13127","13","127","86047","314","104","4260.46","120.86","132.49","114"
"Gordon","2262","US-13129","13","129","58049","129","43","3896.71","74.08","528.86","307"
"Grady","846","US-13131","13","131","24540","99","25","3447.43","101.87","85.57","21"
"Greene","561","US-13133","13","133","18717","61","25","2997.28","133.57","101.51","19"
"Gwinnett","29959","US-13135","13","135","971145","2859","438","3084.92","45.1","139.22","1352"
"Habersham","1856","US-13137","13","137","45800","243","75","4052.4","163.76","168.12","77"
"Hall","10485","US-13139","13","139","206349","1077","172","5081.2","83.35","247.64","511"
"Hancock","412","US-13141","13","141","8193","68","44","5028.68","537.04","85.44","7"
"Haralson","616","US-13143","13","143","30722","30","10","2005.08","32.55","214.83","66"
"Harris","847","US-13145","13","145","34712","92","25","2440.08","72.02","95.07","33"
"Hart","564","US-13147","13","147","26107","71","16","2160.34","61.29","107.25","28"
"Heard","217","US-13149","13","149","12370","15","6","1754.24","48.5","113.18","14"
"Henry","5999","US-13151","13","151","239866","274","111","2500.98","46.28","131.32","315"
"Houston","3514","US-13153","13","153","157039","393","91","2237.66","57.95","169.38","266"
"Irwin","351","US-13155","13","155","9433","40","6","3720.98","63.61","212.02","20"
"Jackson","2307","US-13157","13","157","74700","190","40","3088.35","53.55","236.95","177"
"Jasper","241","US-13159","13","159","14199","20","4","1697.3","28.17","105.64","15"
"Jeff Davis","782","US-13161","13","161","15148","63","23","5162.4","151.84","270.66","41"
"Jefferson","844","US-13163","13","163","15313","81","32","5511.66","208.97","156.73","24"
"Jenkins","462","US-13165","13","165","8576","65","32","5387.13","373.13","139.93","12"
"Johnson","439","US-13167","13","167","9661","60","22","4544.04","227.72","155.26","15"
"Jones","635","US-13169","13","169","28591","54","15","2220.98","52.46","139.9","40"
"Lamar","402","US-13171","13","171","19347","45","19","2077.84","98.21","67.19","13"
"Lanier","316","US-13173","13","173","10351","16","7","3052.85","67.63","86.95","9"
"Laurens","1939","US-13175","13","175","47296","167","86","4099.71","181.83","331.95","157"
"Lee","743","US-13177","13","177","29971","108","27","2479.06","90.09","76.74","23"
"Liberty","1218","US-13179","13","179","61904","117","25","1967.56","40.39","96.92","60"
"Lincoln","228","US-13181","13","181","8125","27","7","2806.15","86.15","110.77","9"
"Long","273","US-13183","13","183","19915","18","4","1370.83","20.09","70.3","14"
"Lowndes","4382","US-13185","13","185","117878","214","85","3717.4","72.11","257.05","303"
"Lumpkin","1028","US-13187","13","187","33802","99","14","3041.24","41.42","177.5","60"
"Macon","246","US-13193","13","193","12988","49","10","1894.06","76.99","53.9","7"
"Madison","769","US-13195","13","195","30177","64","11","2548.3","36.45","129.24","39"
"Marion","196","US-13197","13","197","8293","23","9","2363.44","108.53","24.12","2"
"McDuffie","669","US-13189","13","189","21597","75","15","3097.65","69.45","152.8","33"
"McIntosh","303","US-13191","13","191","14567","32","7","2080.04","48.05","48.05","7"
"Meriwether","582","US-13199","13","199","21020","77","16","2768.79","76.12","80.88","17"
"Miller","302","US-13201","13","201","5764","13","2","5239.42","34.7","242.89","14"
"Mitchell","846","US-13205","13","205","22056","154","45","3835.69","204.03","63.47","14"
"Monroe","747","US-13207","13","207","27727","88","53","2694.12","191.15","100.98","28"
"Montgomery","364","US-13209","13","209","9224","24","9","3946.23","97.57","314.4","29"
"Morgan","519","US-13211","13","211","19138","40","5","2711.88","26.13","94.05","18"
"Murray","996","US-13213","13","213","40261","60","9","2473.86","22.35","303.02","122"
"Muscogee","6304","US-13215","13","215","191626","686","173","3289.74","90.28","72.54","139"
"Newton","2815","US-13217","13","217","112354","293","94","2505.47","83.66","105.92","119"
"Non-GA Resident/Unknown State","14219","US-.",".",".","0","677","182","0","0","0","843"
"Oconee","843","US-13219","13","219","41737","68","27","2019.79","64.69","117.4","49"
"Oglethorpe","398","US-13221","13","221","15240","47","11","2611.55","72.18","203.41","31"
"Paulding","3065","US-13223","13","223","172542","151","60","1776.38","34.77","89.83","155"
"Peach","749","US-13225","13","225","27375","111","24","2736.07","87.67","215.53","59"
"Pickens","727","US-13227","13","227","33530","65","10","2168.21","29.82","238.59","80"
"Pierce","655","US-13229","13","229","19545","82","24","3351.24","122.79","122.79","24"
"Pike","380","US-13231","13","231","18860","32","12","2014.85","63.63","116.65","22"
"Polk","1683","US-13233","13","233","43482","131","26","3870.57","59.79","333.47","145"
"Pulaski","330","US-13235","13","235","10893","38","23","3029.47","211.14","100.98","11"
"Putnam","777","US-13237","13","237","21885","75","27","3550.38","123.37","159.93","35"
"Quitman","38","US-13239","13","239","2294","7","1","1656.5","43.59","174.37","4"
"Rabun","417","US-13241","13","241","16986","54","11","2454.96","64.76","117.74","20"
"Randolph","338","US-13243","13","243","6754","56","29","5004.44","429.38","44.42","3"
"Richmond","7816","US-13245","13","245","202240","618","175","3864.72","86.53","202.73","410"
"Rockdale","2049","US-13247","13","247","94960","262","40","2157.75","42.12","136.9","130"
"Schley","109","US-13249","13","249","5275","16","2","2066.35","37.91","56.87","3"
"Screven","446","US-13251","13","251","13900","47","11","3208.63","79.14","115.11","16"
"Seminole","386","US-13253","13","253","8140","29","11","4742.01","135.14","196.56","16"
"Spalding","1532","US-13255","13","255","69110","204","62","2216.76","89.71","204.02","141"
"Stephens","1258","US-13257","13","257","26328","129","41","4778.18","155.73","360.83","95"
"Stewart","534","US-13259","13","259","6129","81","16","8712.68","261.05","195.79","12"
"Sumter","959","US-13261","13","261","29399","206","69","3262.02","234.7","51.02","15"
"Talbot","170","US-13263","13","263","6158","25","7","2760.64","113.67","48.72","3"
"Taliaferro","25","US-13265","13","265","1632","2","0","1531.86","0","0","0"
"Tattnall","914","US-13267","13","267","25411","66","13","3596.87","51.16","184.96","47"
"Taylor","226","US-13269","13","269","7958","32","12","2839.91","150.79","87.96","7"
"Telfair","435","US-13271","13","271","15644","43","23","2780.62","147.02","217.34","34"
"Terrell","338","US-13273","13","273","8467","74","32","3991.97","377.94","47.24","4"
"Thomas","1582","US-13275","13","275","44431","173","69","3560.58","155.3","123.79","55"
"Tift","1924","US-13277","13","277","40830","238","63","4712.22","154.3","181.24","74"
"Toombs","1463","US-13279","13","279","26983","111","57","5421.93","211.24","255.72","69"
"Towns","418","US-13281","13","281","12034","51","12","3473.49","99.72","332.39","40"
"Treutlen","292","US-13283","13","283","6829","33","11","4275.88","161.08","380.73","26"
"Troup","2995","US-13285","13","285","70414","333","106","4253.42","150.54","140.6","99"
"Turner","332","US-13287","13","287","8076","51","24","4110.95","297.18","136.21","11"
"Twiggs","214","US-13289","13","289","8086","52","9","2646.55","111.3","148.4","12"
"Union","871","US-13291","13","291","25335","92","25","3437.93","98.68","130.25","33"
"Unknown","1971","US-.",".",".","0","40","7","0","0","0","270"
