"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8974","43"
"Hispanic/Latino","American Indian/Alaska Native","599","3"
"Hispanic/Latino","Asian","1032","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","632","4"
"Hispanic/Latino","Other","59650","494"
"Hispanic/Latino","Unknown","37312","11"
"Hispanic/Latino","White","86030","875"
"Non-Hispanic/Latino","African-American/Black","496928","9462"
"Non-Hispanic/Latino","American Indian/Alaska Native","1108","29"
"Non-Hispanic/Latino","Asian","42205","486"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1335","15"
"Non-Hispanic/Latino","Other","34086","194"
"Non-Hispanic/Latino","Unknown","18908","13"
"Non-Hispanic/Latino","White","687344","16960"
"Unknown","African-American/Black","44011","21"
"Unknown","American Indian/Alaska Native","747","0"
"Unknown","Asian","7333","3"
"Unknown","Native Hawaiian/Pacific Islander","424","0"
"Unknown","Other","33886","16"
"Unknown","Unknown","279386","112"
"Unknown","White","54567","37"
