"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","4698","33"
"Hispanic/Latino","American Indian/Alaska Native","285","1"
"Hispanic/Latino","Asian","457","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","337","4"
"Hispanic/Latino","Other","44165","390"
"Hispanic/Latino","Unknown","21389","7"
"Hispanic/Latino","White","58014","694"
"Non-Hispanic/Latino","African-American/Black","317273","7616"
"Non-Hispanic/Latino","American Indian/Alaska Native","617","19"
"Non-Hispanic/Latino","Asian","22639","402"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","916","11"
"Non-Hispanic/Latino","Other","20843","198"
"Non-Hispanic/Latino","Unknown","11351","9"
"Non-Hispanic/Latino","White","459549","13256"
"Unknown","African-American/Black","29594","21"
"Unknown","American Indian/Alaska Native","233","0"
"Unknown","Asian","4963","2"
"Unknown","Native Hawaiian/Pacific Islander","209","0"
"Unknown","Other","28764","12"
"Unknown","Unknown","161520","60"
"Unknown","White","44533","45"
