"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","22028","2","360"
"05-09 years","Georgia","41321","3","287"
"10-17 years","Georgia","116966","11","1086"
"18-29 years","Georgia","266649","184","5268"
"30-39 years","Georgia","201801","436","7013"
"40-49 years","Georgia","187347","1044","9906"
"50-59 years","Georgia","170714","2505","14487"
"60-69 years","Georgia","114388","4736","16491"
"70-79 years","Georgia","64803","6270","15060"
"80 & Older years","Georgia","35907","7592","11198"
"<1 years","Georgia","6011","0","311"
"Unknown years","Georgia","4414","2","159"
"01-04 years","Appling","55","0","0"
"05-09 years","Appling","94","0","0"
"10-17 years","Appling","332","0","2"
"18-29 years","Appling","490","1","7"
"30-39 years","Appling","364","2","9"
"40-49 years","Appling","373","6","27"
"50-59 years","Appling","395","10","37"
"60-69 years","Appling","330","17","64"
"70-79 years","Appling","217","24","42"
"80 & Older years","Appling","111","25","40"
"<1 years","Appling","8","0","0"
"Unknown years","Appling","3","0","0"
"01-04 years","Atkinson","19","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","107","0","1"
"18-29 years","Atkinson","240","0","14"
"30-39 years","Atkinson","174","0","15"
"40-49 years","Atkinson","185","4","32"
"50-59 years","Atkinson","175","3","34"
"60-69 years","Atkinson","111","7","35"
"70-79 years","Atkinson","59","6","23"
"80 & Older years","Atkinson","19","6","13"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","37","0","0"
"05-09 years","Bacon","53","0","0"
"10-17 years","Bacon","164","0","1"
"18-29 years","Bacon","502","0","7"
"30-39 years","Bacon","265","1","9"
"40-49 years","Bacon","267","4","18"
"50-59 years","Bacon","211","2","18"
"60-69 years","Bacon","186","15","42"
"70-79 years","Bacon","114","9","30"
"80 & Older years","Bacon","50","12","16"
"<1 years","Bacon","10","0","0"
"Unknown years","Bacon","5","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","11","0","0"
"10-17 years","Baker","13","0","0"
"18-29 years","Baker","42","0","0"
"30-39 years","Baker","27","0","4"
"40-49 years","Baker","26","3","3"
"50-59 years","Baker","34","0","2"
"60-69 years","Baker","38","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","14","4","6"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","65","0","0"
"05-09 years","Baldwin","133","0","0"
