"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9270","46"
"Hispanic/Latino","American Indian/Alaska Native","590","3"
"Hispanic/Latino","Asian","1065","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","664","4"
"Hispanic/Latino","Other","61290","507"
"Hispanic/Latino","Unknown","37330","8"
"Hispanic/Latino","White","89175","940"
"Non-Hispanic/Latino","African-American/Black","523866","10249"
"Non-Hispanic/Latino","American Indian/Alaska Native","1070","28"
"Non-Hispanic/Latino","Asian","45044","526"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1428","15"
"Non-Hispanic/Latino","Other","34909","178"
"Non-Hispanic/Latino","Unknown","18468","6"
"Non-Hispanic/Latino","White","725648","18536"
"Unknown","African-American/Black","40642","9"
"Unknown","American Indian/Alaska Native","518","0"
"Unknown","Asian","7358","2"
"Unknown","Native Hawaiian/Pacific Islander","421","0"
"Unknown","Other","33702","10"
"Unknown","Unknown","255575","97"
"Unknown","White","51858","24"
