"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","910234","12507","51302"
"Male","Georgia","757386","14319","48246"
"Unknown","Georgia","12153","7","260"
"Female","Appling","1699","47","128"
"Male","Appling","1375","52","122"
"Unknown","Appling","10","0","0"
"Female","Atkinson","719","12","94"
"Male","Atkinson","593","20","93"
"Unknown","Atkinson","4","0","0"
"Female","Bacon","1006","22","83"
"Male","Bacon","1173","31","91"
"Unknown","Bacon","3","0","0"
"Female","Baker","150","5","21"
"Male","Baker","125","8","23"
"Female","Baldwin","3654","60","175"
"Male","Baldwin","2843","117","234"
"Unknown","Baldwin","17","0","0"
"Female","Banks","1613","34","166"
"Male","Banks","1340","33","138"
"Unknown","Banks","15","0","0"
"Female","Barrow","9351","99","497"
"Male","Barrow","7848","105","436"
"Unknown","Barrow","62","0","1"
"Female","Bartow","10397","158","561"
"Male","Bartow","8966","185","573"
"Unknown","Bartow","106","0","0"
"Female","Ben Hill","1168","31","98"
"Male","Ben Hill","859","41","84"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","944","27","56"
"Male","Berrien","776","24","46"
"Unknown","Berrien","5","0","0"
"Female","Bibb","14698","314","1366"
"Male","Bibb","10747","293","1139"
"Unknown","Bibb","183","0","1"
"Female","Bleckley","735","23","35"
"Male","Bleckley","548","18","30"
"Unknown","Bleckley","6","0","0"
"Female","Brantley","1146","36","90"
"Male","Brantley","955","42","79"
"Unknown","Brantley","6","0","0"
"Female","Brooks","911","22","75"
"Male","Brooks","697","35","63"
"Unknown","Brooks","6","0","0"
"Female","Bryan","2944","25","158"
"Male","Bryan","2660","40","191"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","5287","57","182"
"Male","Bulloch","4057","44","148"
"Unknown","Bulloch","24","0","0"
"Female","Burke","1462","25","109"
"Male","Burke","1165","24","97"
"Unknown","Burke","10","0","1"
"Female","Butts","2115","54","102"
"Male","Butts","2134","61","129"
"Unknown","Butts","28","0","0"
"Female","Calhoun","358","14","43"
"Male","Calhoun","331","7","52"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3835","41","122"
"Male","Camden","3346","43","104"
