"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","7810","37"
"Hispanic/Latino","American Indian/Alaska Native","511","2"
"Hispanic/Latino","Asian","829","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","526","4"
"Hispanic/Latino","Other","56674","457"
"Hispanic/Latino","Unknown","32806","15"
"Hispanic/Latino","White","77872","839"
"Non-Hispanic/Latino","African-American/Black","458774","8939"
"Non-Hispanic/Latino","American Indian/Alaska Native","983","23"
"Non-Hispanic/Latino","Asian","35840","455"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1223","17"
"Non-Hispanic/Latino","Other","29855","112"
"Non-Hispanic/Latino","Unknown","14801","13"
"Non-Hispanic/Latino","White","617557","15775"
"Unknown","African-American/Black","38040","16"
"Unknown","American Indian/Alaska Native","550","0"
"Unknown","Asian","6233","3"
"Unknown","Native Hawaiian/Pacific Islander","335","0"
"Unknown","Other","34626","14"
"Unknown","Unknown","218422","83"
"Unknown","White","45506","26"
