"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9109","43"
"Hispanic/Latino","American Indian/Alaska Native","599","3"
"Hispanic/Latino","Asian","1048","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","644","4"
"Hispanic/Latino","Other","60323","491"
"Hispanic/Latino","Unknown","37610","8"
"Hispanic/Latino","White","87291","912"
"Non-Hispanic/Latino","African-American/Black","506078","9862"
"Non-Hispanic/Latino","American Indian/Alaska Native","1105","29"
"Non-Hispanic/Latino","Asian","43481","506"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1367","15"
"Non-Hispanic/Latino","Other","34371","172"
"Non-Hispanic/Latino","Unknown","18709","6"
"Non-Hispanic/Latino","White","700929","17833"
"Unknown","African-American/Black","43539","15"
"Unknown","American Indian/Alaska Native","714","0"
"Unknown","Asian","7422","2"
"Unknown","Native Hawaiian/Pacific Islander","420","0"
"Unknown","Other","33884","10"
"Unknown","Unknown","271872","103"
"Unknown","White","54127","32"
