"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"109","湖北省","province","湖北省","444",NA,"0","0","0","疑似病例数待确认，治愈 28 例，死亡 17 例"
"110","湖南省","province","湖南省","9",NA,"0","0","0",""
"111","澳门","province","澳门","2",NA,"0","0","0",""
"112","甘肃省","province","甘肃省","2",NA,"0","0","0",""
"113","福建省","province","福建省","5",NA,"0","0","0",""
"114","贵州省","province","贵州省","3",NA,"0","0","0",""
"115","辽宁省","province","辽宁省","3",NA,"0","0","0",""
"116","重庆市","province","重庆市","9",NA,"0","0","0",""
"117","陕西省","province","陕西省","3",NA,"0","0","0",""
"118","香港","province","香港","2",NA,"0","0","0",""
"119","黑龙江省","province","黑龙江省","2",NA,"0","0","0",""
