"province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"黑龙江省","city","七台河","17","1","0","0","16",NA
"海南省","city","万宁","13","0","0","0","13",NA
"重庆市","city","万州区","118","0","0","4","114",NA
"重庆市","city","万盛经开区","1","0","0","0","1",NA
"海南省","city","三亚","54","0","0","1","53",NA
"福建省","city","三明","14","0","0","0","14",NA
"河南省","city","三门峡","7","0","0","1","6",NA
"江西省","city","上饶","123","0","0","0","123",NA
"天津市","city","东丽区","4","0","0","0","4",NA
"北京市","city","东城区","14","13","0","0","1",NA
"海南省","city","东方","3","0","0","1","2",NA
"广东省","city","东莞","100","3","0","1","96",NA
"重庆市","city","两江新区","17","0","0","0","17",NA
"浙江省","city","丽水","25","8","0","0","17",NA
"云南省","city","丽江","7","0","0","0","7",NA
"宁夏回族自治区","city","中卫","4","1","0","0","3",NA
"广东省","city","中山","68","4","0","0","64",NA
"北京市","city","丰台区","43","40","0","0","3",NA
"重庆市","city","丰都县","10","0","0","0","10",NA
"甘肃省","city","临夏","3","0","0","0","3",NA
"山西省","city","临汾","2","0","0","0","2",NA
"山东省","city","临沂","49","1","0","0","48",NA
"云南省","city","临沧","1","0","0","0","1",NA
"海南省","city","临高","6","0","0","0","6",NA
"辽宁省","city","丹东","11","4","0","0","7",NA
"内蒙古自治区","city","乌兰察布","3","0","0","0","3",NA
"内蒙古自治区","city","乌海市","2","0","0","0","2",NA
"新疆维吾尔自治区","city","乌鲁木齐","23","0","0","0","23",NA
"海南省","city","乐东","2","0","0","0","2",NA
"四川省","city","乐山","3","0","0","0","3",NA
"江西省","city","九江","118","0","0","0","118",NA
"重庆市","city","九龙坡区","21","0","0","1","20",NA
"重庆市","city","云阳县","25","0","0","0","25",NA
"安徽省","city","亳州","108","0","0","0","108",NA
"湖北省","city","仙桃","575","33","0","22","520",NA
"黑龙江省","city","伊春","1","0","0","0","1",NA
"新疆维吾尔自治区","city","伊犁州","18","0","0","0","18",NA
"广东省","city","佛山","84","6","0","0","78",NA
"黑龙江省","city","佳木斯","15","0","0","0","15",NA
"海南省","city","保亭","3","0","0","0","3",NA
"河北省","city","保定","32","0","0","0","32",NA
"云南省","city","保山","9","0","0","0","9",NA
"河南省","city","信阳","274","1","0","2","271",NA
"海南省","city","儋州","15","1","0","1","13",NA
"吉林省","city","公主岭","6","0","0","0","6",NA
"安徽省","city","六安","69","0","0","0","69",NA
