"province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"海南省","city","万宁","5",NA,"0","0","0",NA
"重庆市","city","万州区","10",NA,"0","0","0",NA
"海南省","city","三亚","6",NA,"0","0","0",NA
"福建省","city","三明","1",NA,"0","0","0",NA
"河南省","city","三门峡","1",NA,"0","0","0",NA
"江西省","city","上饶","2",NA,"0","0","0",NA
"广东省","city","东莞","1",NA,"0","0","0",NA
"重庆市","city","两江新区","3",NA,"0","0","0",NA
"云南省","city","丽江市","2",NA,"0","0","0",NA
"宁夏回族自治区","city","中卫","1",NA,"0","0","0",NA
"广东省","city","中山","2",NA,"0","0","0",NA
"北京市","city","丰台","2",NA,"0","0","0",NA
"重庆市","city","丰都县","1",NA,"0","0","0",NA
"甘肃省","city","临夏","1",NA,"0","0","0",NA
"山东省","city","临沂","3",NA,"0","0","0",NA
"海南省","city","临高县","1",NA,"0","0","0",NA
"新疆维吾尔自治区","city","乌鲁木齐","3",NA,"0","0","0",NA
"江西省","city","九江","2",NA,"0","0","0",NA
"重庆市","city","九龙坡区","3",NA,"0","0","0",NA
"重庆市","city","云阳县","2",NA,"0","0","0",NA
"安徽省","city","亳州","4",NA,"0","0","0",NA
"湖北省","city","仙桃","10",NA,"0","0","0",NA
"广东省","city","佛山","9",NA,"0","0","0",NA
"河北省","city","保定","1",NA,"0","0","0",NA
"河南省","city","信阳","5",NA,"0","0","0",NA
"海南省","city","儋州","3",NA,"0","0","0",NA
"安徽省","city","六安","2",NA,"0","0","0",NA
"甘肃省","city","兰州","2",NA,"0","0","0",NA
"四川省","city","内江","1",NA,"0","0","0",NA
"广西壮族自治区","city","北海","6",NA,"0","0","0",NA
"湖北省","city","十堰","5",NA,"0","0","0",NA
"江苏省","city","南京","4",NA,"0","0","0",NA
"江西省","city","南昌","3",NA,"0","0","0",NA
"江苏省","city","南通","1",NA,"0","0","0",NA
"河南省","city","南阳","8",NA,"0","0","0",NA
"福建省","city","厦门","3",NA,"0","0","0",NA
"浙江省","city","台州","20",NA,"0","0","0",NA
"重庆市","city","合川区","2",NA,"0","0","0",NA
"安徽省","city","合肥","10",NA,"0","0","0",NA
"江西省","city","吉安","1",NA,"0","0","0",NA
"吉林省","city","吉林","2",NA,"0","0","0",NA
