"province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"黑龙江省","city","七台河","9",NA,"0","0","0",NA
"海南省","city","万宁","11",NA,"0","0","0",NA
"重庆市","city","万州区","67",NA,"0","1","2",NA
"海南省","city","三亚","30",NA,"0","0","5",NA
"福建省","city","三明","11",NA,"0","0","0",NA
"河南省","city","三门峡","7",NA,"0","0","0",NA
"江西省","city","上饶","69",NA,"0","0","5",NA
"天津市","city","东丽区","3",NA,"0","0","0",NA
"北京市","city","东城区","6",NA,"0","0","0",NA
"海南省","city","东方","2",NA,"0","0","0",NA
"广东省","city","东莞","44",NA,"0","0","1",NA
"重庆市","city","两江新区","14",NA,"0","0","0",NA
"浙江省","city","丽水","16",NA,"0","0","1",NA
"云南省","city","丽江","7",NA,"0","0","0",NA
"宁夏回族自治区","city","中卫","3",NA,"0","0","0",NA
"广东省","city","中山","36",NA,"0","0","3",NA
"北京市","city","丰台区","20",NA,"0","0","0",NA
"重庆市","city","丰都县","6",NA,"0","0","1",NA
"甘肃省","city","临夏","3",NA,"0","0","2",NA
"山西省","city","临汾","1",NA,"0","0","0",NA
"山东省","city","临沂","30",NA,"0","0","1",NA
"云南省","city","临沧","1",NA,"0","0","0",NA
"海南省","city","临高","5",NA,"0","0","0",NA
"辽宁省","city","丹东","7",NA,"0","0","0",NA
"内蒙古自治区","city","乌兰察布","3",NA,"0","0","0",NA
"内蒙古自治区","city","乌海市","2",NA,"0","0","0",NA
"新疆维吾尔自治区","city","乌鲁木齐","12",NA,"0","0","0",NA
"海南省","city","乐东","1",NA,"0","0","0",NA
"四川省","city","乐山","2",NA,"0","0","0",NA
"江西省","city","九江","86",NA,"0","0","3",NA
"重庆市","city","九龙坡区","19",NA,"0","1","0",NA
"重庆市","city","云阳县","18",NA,"0","0","2",NA
"安徽省","city","亳州","58",NA,"0","0","2",NA
"湖北省","city","仙桃","225",NA,"0","4","0",NA
"新疆维吾尔自治区","city","伊犁州","9",NA,"0","0","0",NA
"广东省","city","佛山","50",NA,"0","0","1",NA
"黑龙江省","city","佳木斯","11",NA,"0","0","0",NA
"海南省","city","保亭","2",NA,"0","0","0",NA
"河北省","city","保定","17",NA,"0","0","4",NA
"云南省","city","保山","8",NA,"0","0","0",NA
"河南省","city","信阳","138",NA,"0","0","6",NA
"海南省","city","儋州","10",NA,"0","0","0",NA
"吉林省","city","公主岭","4",NA,"0","0","0",NA
"安徽省","city","六安","34",NA,"0","0","1",NA
"贵州省","city","六盘水","9",NA,"0","1","0",NA
"甘肃省","city","兰州","30",NA,"0","0","3",NA
"内蒙古自治区","city","兴安盟","1",NA,"0","0","0",NA
"四川省","city","内江","15",NA,"0","0","0",NA
"四川省","city","凉山州","7",NA,"0","0","0",NA
"内蒙古自治区","city","包头","7",NA,"0","0","0",NA
"广西壮族自治区","city","北海","29",NA,"0","0","2",NA
"湖北省","city","十堰","318",NA,"0","0","9",NA
"江苏省","city","南京","47",NA,"0","0","10",NA
"四川省","city","南充","28",NA,"0","0","1",NA
"广西壮族自治区","city","南宁","28",NA,"0","0","0",NA
