"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8413","37"
"Hispanic/Latino","American Indian/Alaska Native","575","3"
"Hispanic/Latino","Asian","919","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","601","4"
"Hispanic/Latino","Other","58961","465"
"Hispanic/Latino","Unknown","36035","15"
"Hispanic/Latino","White","82323","854"
"Non-Hispanic/Latino","African-American/Black","481990","9115"
"Non-Hispanic/Latino","American Indian/Alaska Native","1069","22"
"Non-Hispanic/Latino","Asian","39067","467"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1296","17"
"Non-Hispanic/Latino","Other","33438","139"
"Non-Hispanic/Latino","Unknown","17747","15"
"Non-Hispanic/Latino","White","659562","16187"
"Unknown","African-American/Black","42363","17"
"Unknown","American Indian/Alaska Native","792","0"
"Unknown","Asian","6980","3"
"Unknown","Native Hawaiian/Pacific Islander","388","0"
"Unknown","Other","35667","15"
"Unknown","Unknown","264373","94"
"Unknown","White","51788","30"
