Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,272,7
Hispanic/Latino,American Indian/Alaska Native,16,0
Hispanic/Latino,Asian,26,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,17,0
Hispanic/Latino,Other,5106,62
Hispanic/Latino,Unknown,2390,4
Hispanic/Latino,White,7170,75
Non-Hispanic/Latino,African-American/Black,22971,1336
Non-Hispanic/Latino,American Indian/Alaska Native,47,3
Non-Hispanic/Latino,Asian,1042,47
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,48,5
Non-Hispanic/Latino,Other,1034,8
Non-Hispanic/Latino,Unknown,726,1
Non-Hispanic/Latino,White,20489,1294
Unknown,African-American/Black,3644,14
Unknown,American Indian/Alaska Native,8,0
Unknown,Asian,321,0
Unknown,Native Hawaiian/Pacific Islander,32,0
Unknown,Other,1570,2
Unknown,Unknown,26916,14
Unknown,White,3219,6
