city_source,ADM2_source,ADM1_source,country_source,country_code_source,city_destination,ADM2_destination,ADM1_destination,country_destination,country_code_destination,travel_advisor,travel_advisor_type,travel_restriction_date,travel_restriction_date_end,strict_restrictions,notes,tr_source1,accessed_date1,who_by1,tr_source2,accessed_date2,who_by2,,,,,,,,,,,,,,,,,,
,,,France,FR,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Germany,DE,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Greece,GR,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Hungary,HU,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Ireland,IE,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Latvia,LV,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Liechtenstein,LI,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Lithuania,LT,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Luxembourg,LU,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Malta,MT,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Netherlands,NL,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Norway,NO,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Poland,PL,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Portugal,PT,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Romania,RO,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Slovakia,SK,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Slovenia,SI,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Sweden,SE,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Switzerland,CH,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United Kingdom,GB,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,United States,US,,,,Gabon,GA,,,2020-03-16,,no non-residents allowed,"Passengers who have been in Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the last 14 days are not allowed to enter Gabon. This does not apply to nationals and residents of Gabon. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Georgia,GE,,,2020-03-07,,no non-residents allowed,"1. Nationals of China (People's Rep.) arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 2. Nationals of China (People's Rep.) who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia. 3. Nationals of Iran arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 4. Nationals of Iran who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia.5. Nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days are required to undergo a 14-day quarantine. 6. Passengers other than nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days must: undergo a 14-day quarantine; or present a coronavirus-free (PCR) certificate issued by a laboratory of the country of departure or, in case of transit, by a laboratory of the transit country.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Georgia,GE,Foreign Ministry,Government,2020-02-23,,flights suspended,suspended direct flights with Iran,https://agenda.ge/en/news/2020/558,2020-02-24,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Georgia,GE,,,2020-03-07,,self-isolate on arrival,"1. Nationals of China (People's Rep.) arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 2. Nationals of China (People's Rep.) who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia. 3. Nationals of Iran arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 4. Nationals of Iran who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia.5. Nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days are required to undergo a 14-day quarantine. 6. Passengers other than nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days must: undergo a 14-day quarantine; or present a coronavirus-free (PCR) certificate issued by a laboratory of the country of departure or, in case of transit, by a laboratory of the transit country.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Georgia,GE,,,2020-03-07,,self-isolate on arrival,"1. Nationals of China (People's Rep.) arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 2. Nationals of China (People's Rep.) who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia. 3. Nationals of Iran arriving from China (People's Rep.) or Iran are not allowed to enter Georgia. 4. Nationals of Iran who have been in China (People's Rep.) or Iran in the last 14 days are not allowed to enter Georgia.5. Nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days are required to undergo a 14-day quarantine. 6. Passengers other than nationals of Georgia who have transited through or have been in China (People's Rep.), Iran, Italy or Korea (Rep.) in the past 14 days must: undergo a 14-day quarantine; or present a coronavirus-free (PCR) certificate issued by a laboratory of the country of departure or, in case of transit, by a laboratory of the transit country.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,Ghana,GH,,,2020-03-17,,no non-residents allowed,Passengers who have been in countries with more than 200 confirmed cases of coronavirus (COVID-19) in the past 14 days are not allowed to enter Ghana. This does not apply to nationals and residents of Ghana.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-17,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Greece,GR,,,2020-03-16,,flights suspended,Passenger flights from and to Italy and Spain are suspended.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,Greece,GR,,,2020-03-16,,flights suspended,Passenger flights from and to Italy and Spain are suspended.,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Grenada,GD,,Government,2020-02-02,,no non-residents allowed,"The Government of Grenada will not allow any non-national with a travel history within the last 14 days from mainland China, whether in transit or originating, to enter any local port. Any national returning to Grenada with similar travel history, will be quarantined for 14 days.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.mgovernance.net/statement-ministry-health,2020-02-26,CAS,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Guatemala,GT,,,2020-01-31,,no non-residents allowed,prohibited entry for any person who has been in China within 15 days before coming to the country,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-02-12,TCO,https://www.agn.com.gt/gobierno-de-guatemala-activa-alerta-sanitaria-y-fortalece-controles-en-fronteras-para-evitar-el-contagio-del-coronavirus/,2020-02-26,CAS,,,,,,,,,,,,,,,,,,
,,,France,FR,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Germany,DE,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,Guatemala,GT,,,2020-03-13,,no non-residents allowed,"Passengers and airline crew who have transited or have been in China (People's Rep.), France, Germany, Iran, Italy, Korea (Rep.) or Spain in the past 30 days are not allowed to enter Guatemala. This does not apply to nationals of Guatemala. This does not apply to passengers who reside in Guatemala.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Guyana,GY,,,2020-01-31,,no non-residents allowed,"Persons in China who plan to travel to Guyana are asked to defer those plans until further notice as they are likely to be denied entry. Those in Guyana, who plan to travel to China, are advised to postpone those plans.   ",https://www.minfor.gov.gy/advisory/,2020-02-26,CAS,,,,,,,,,,,,,,,,,,,,,
,,,China,CN,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,France,FR,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Germany,DE,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Iran,IR,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Italy,IT,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,South Korea,KR,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Spain,ES,,,,Haiti,HT,,,2020-03-11,,no non-residents allowed,"Passengers who have been in China (People's Rep.), France, Germany, Iran, Italy or Korea (Rep.) in the past 14 days, are not allowed to enter Haiti.",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-14,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Austria,AT,,,,Honduras,HN,,,2020-03-15,,no non-residents allowed,"Passengers arriving from Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland and United Kingdom are not allowed to enter Honduras. This does not apply to nationals of Honduras. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
,,,Belgium,BE,,,,Honduras,HN,,,2020-03-15,,no non-residents allowed,"Passengers arriving from Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland and United Kingdom are not allowed to enter Honduras. This does not apply to nationals of Honduras. ",https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,2020-03-16,CAS,,,,,,,,,,,,,,,,,,,,,
