Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,699,12
Hispanic/Latino,American Indian/Alaska Native,54,1
Hispanic/Latino,Asian,71,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,82,0
Hispanic/Latino,Other,12238,134
Hispanic/Latino,Unknown,5085,5
Hispanic/Latino,White,16214,188
Non-Hispanic/Latino,African-American/Black,58266,2358
Non-Hispanic/Latino,American Indian/Alaska Native,108,6
Non-Hispanic/Latino,Asian,2793,101
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,157,6
Non-Hispanic/Latino,Other,2794,16
Non-Hispanic/Latino,Unknown,2243,26
Non-Hispanic/Latino,White,60125,2676
Unknown,African-American/Black,11106,24
Unknown,American Indian/Alaska Native,52,0
Unknown,Asian,983,0
Unknown,Native Hawaiian/Pacific Islander,121,1
Unknown,Other,4669,5
Unknown,Unknown,80097,55
Unknown,White,12514,18
