"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2740","21"
"Hispanic/Latino","American Indian/Alaska Native","130","0"
"Hispanic/Latino","Asian","290","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","192","1"
"Hispanic/Latino","Other","30811","308"
"Hispanic/Latino","Unknown","13612","13"
"Hispanic/Latino","White","41049","547"
"Non-Hispanic/Latino","African-American/Black","198689","5705"
"Non-Hispanic/Latino","American Indian/Alaska Native","362","11"
"Non-Hispanic/Latino","Asian","15351","322"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","603","12"
"Non-Hispanic/Latino","Other","10601","55"
"Non-Hispanic/Latino","Unknown","7185","45"
"Non-Hispanic/Latino","White","292451","9528"
"Unknown","African-American/Black","26847","28"
"Unknown","American Indian/Alaska Native","181","0"
"Unknown","Asian","3615","1"
"Unknown","Native Hawaiian/Pacific Islander","175","0"
"Unknown","Other","26576","22"
"Unknown","Unknown","141171","57"
"Unknown","White","41785","49"
