Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,605,11
Hispanic/Latino,American Indian/Alaska Native,46,0
Hispanic/Latino,Asian,54,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,71,0
Hispanic/Latino,Other,10531,116
Hispanic/Latino,Unknown,4449,4
Hispanic/Latino,White,14134,166
Non-Hispanic/Latino,African-American/Black,50546,2041
Non-Hispanic/Latino,American Indian/Alaska Native,98,4
Non-Hispanic/Latino,Asian,2275,77
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,134,6
Non-Hispanic/Latino,Other,2284,13
Non-Hispanic/Latino,Unknown,1759,15
Non-Hispanic/Latino,White,48007,2168
Unknown,African-American/Black,9670,30
Unknown,American Indian/Alaska Native,41,0
Unknown,Asian,772,1
Unknown,Native Hawaiian/Pacific Islander,105,1
Unknown,Other,4113,8
Unknown,Unknown,79225,39
Unknown,White,9942,27
