Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,651,12
Hispanic/Latino,American Indian/Alaska Native,50,1
Hispanic/Latino,Asian,62,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,76,0
Hispanic/Latino,Other,11151,123
Hispanic/Latino,Unknown,4764,3
Hispanic/Latino,White,15022,179
Non-Hispanic/Latino,African-American/Black,53913,2180
Non-Hispanic/Latino,American Indian/Alaska Native,94,4
Non-Hispanic/Latino,Asian,2464,90
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,140,6
Non-Hispanic/Latino,Other,2491,14
Non-Hispanic/Latino,Unknown,1877,13
Non-Hispanic/Latino,White,52821,2388
Unknown,African-American/Black,10430,18
Unknown,American Indian/Alaska Native,42,0
Unknown,Asian,872,1
Unknown,Native Hawaiian/Pacific Islander,115,1
Unknown,Other,4355,11
Unknown,Unknown,79824,33
Unknown,White,11008,15
