"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","23028","3","367"
"05-09 years","Georgia","43396","5","296"
"10-17 years","Georgia","121118","14","1164"
"18-29 years","Georgia","273358","213","5711"
"30-39 years","Georgia","207645","539","7579"
"40-49 years","Georgia","192447","1228","10618"
"50-59 years","Georgia","174817","2923","15480"
"60-69 years","Georgia","117348","5255","17474"
"70-79 years","Georgia","66540","6796","15844"
"80 & Older years","Georgia","36713","7998","11663"
"<1 years","Georgia","6575","0","377"
"Unknown years","Georgia","3895","0","150"
"01-04 years","Appling","56","0","0"
"05-09 years","Appling","91","0","0"
"10-17 years","Appling","334","0","3"
"18-29 years","Appling","493","1","7"
"30-39 years","Appling","365","2","10"
"40-49 years","Appling","375","8","27"
"50-59 years","Appling","398","11","40"
"60-69 years","Appling","332","21","67"
"70-79 years","Appling","221","24","45"
"80 & Older years","Appling","112","27","40"
"<1 years","Appling","8","0","0"
"01-04 years","Atkinson","20","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","116","0","1"
"18-29 years","Atkinson","245","0","15"
"30-39 years","Atkinson","182","0","14"
"40-49 years","Atkinson","188","4","33"
"50-59 years","Atkinson","182","5","36"
"60-69 years","Atkinson","115","7","35"
"70-79 years","Atkinson","62","8","25"
"80 & Older years","Atkinson","20","8","14"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","39","0","0"
"05-09 years","Bacon","53","0","0"
"10-17 years","Bacon","165","0","1"
"18-29 years","Bacon","512","0","8"
"30-39 years","Bacon","277","1","9"
"40-49 years","Bacon","289","4","20"
"50-59 years","Bacon","215","3","20"
"60-69 years","Bacon","199","17","44"
"70-79 years","Bacon","121","13","32"
"80 & Older years","Bacon","54","12","18"
"<1 years","Bacon","12","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","11","0","0"
"10-17 years","Baker","13","0","0"
"18-29 years","Baker","43","0","0"
"30-39 years","Baker","27","0","4"
"40-49 years","Baker","28","3","3"
"50-59 years","Baker","34","0","4"
"60-69 years","Baker","39","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","15","4","6"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","67","0","1"
"05-09 years","Baldwin","139","0","0"
"10-17 years","Baldwin","400","1","5"
"18-29 years","Baldwin","1582","0","18"
"30-39 years","Baldwin","686","2","20"
"40-49 years","Baldwin","679","5","42"
"50-59 years","Baldwin","661","21","73"
"60-69 years","Baldwin","511","37","87"
"70-79 years","Baldwin","313","40","69"
"80 & Older years","Baldwin","194","61","73"
"<1 years","Baldwin","27","0","1"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","23","0","1"
"05-09 years","Banks","62","0","1"
"10-17 years","Banks","193","0","5"
"18-29 years","Banks","452","0","18"
"30-39 years","Banks","335","0","15"
"40-49 years","Banks","349","3","25"
"50-59 years","Banks","356","4","37"
"60-69 years","Banks","298","14","65"
"70-79 years","Banks","208","23","74"
"80 & Older years","Banks","100","14","34"
"<1 years","Banks","13","0","2"
"Unknown years","Banks","22","0","1"
"01-04 years","Barrow","203","0","2"
"05-09 years","Barrow","417","0","0"
"10-17 years","Barrow","1319","1","12"
"18-29 years","Barrow","2526","1","57"
"30-39 years","Barrow","2248","3","76"
"40-49 years","Barrow","2225","11","113"
"50-59 years","Barrow","1834","19","163"
"60-69 years","Barrow","1232","47","192"
"70-79 years","Barrow","680","52","129"
"80 & Older years","Barrow","303","58","108"
"<1 years","Barrow","62","0","4"
"Unknown years","Barrow","18","0","2"
"01-04 years","Bartow","244","0","7"
"05-09 years","Bartow","418","0","3"
"10-17 years","Bartow","1473","0","16"
"18-29 years","Bartow","2905","0","35"
"30-39 years","Bartow","2384","6","60"
"40-49 years","Bartow","2412","9","108"
"50-59 years","Bartow","2441","31","203"
"60-69 years","Bartow","1532","72","203"
"70-79 years","Bartow","1024","102","231"
"80 & Older years","Bartow","477","88","139"
"<1 years","Bartow","83","0","6"
"Unknown years","Bartow","68","0","6"
"01-04 years","Ben Hill","37","0","1"
"05-09 years","Ben Hill","31","0","0"
"10-17 years","Ben Hill","149","0","0"
"18-29 years","Ben Hill","357","0","5"
"30-39 years","Ben Hill","266","3","12"
"40-49 years","Ben Hill","258","2","14"
"50-59 years","Ben Hill","276","8","34"
"60-69 years","Ben Hill","237","16","35"
"70-79 years","Ben Hill","159","20","56"
"80 & Older years","Ben Hill","77","19","21"
"<1 years","Ben Hill","10","0","2"
"Unknown years","Ben Hill","1","0","0"
"01-04 years","Berrien","39","0","0"
"05-09 years","Berrien","43","0","0"
"10-17 years","Berrien","146","0","1"
"18-29 years","Berrien","285","0","0"
"30-39 years","Berrien","246","0","3"
"40-49 years","Berrien","193","1","6"
"50-59 years","Berrien","217","5","20"
"60-69 years","Berrien","173","11","25"
"70-79 years","Berrien","120","17","21"
"80 & Older years","Berrien","61","14","15"
"<1 years","Berrien","9","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","307","0","6"
"05-09 years","Bibb","536","0","0"
"10-17 years","Bibb","1568","0","13"
"18-29 years","Bibb","4512","4","123"
"30-39 years","Bibb","3348","10","171"
"40-49 years","Bibb","3062","28","287"
"50-59 years","Bibb","2761","57","382"
"60-69 years","Bibb","2125","130","523"
"70-79 years","Bibb","1192","158","436"
"80 & Older years","Bibb","717","187","357"
"<1 years","Bibb","86","0","7"
"Unknown years","Bibb","7","0","0"
"01-04 years","Bleckley","17","0","0"
"05-09 years","Bleckley","36","0","0"
"10-17 years","Bleckley","115","0","0"
"18-29 years","Bleckley","250","0","6"
"30-39 years","Bleckley","147","1","5"
"40-49 years","Bleckley","138","1","2"
"50-59 years","Bleckley","144","4","9"
"60-69 years","Bleckley","107","9","14"
"70-79 years","Bleckley","75","6","14"
"80 & Older years","Bleckley","62","18","13"
"<1 years","Bleckley","5","0","0"
"01-04 years","Brantley","35","0","0"
"05-09 years","Brantley","64","0","0"
"10-17 years","Brantley","205","0","1"
"18-29 years","Brantley","345","0","5"
"30-39 years","Brantley","270","2","7"
"40-49 years","Brantley","260","4","20"
"50-59 years","Brantley","300","17","33"
"60-69 years","Brantley","206","15","34"
"70-79 years","Brantley","140","24","42"
"80 & Older years","Brantley","60","13","16"
"<1 years","Brantley","3","0","0"
"01-04 years","Brooks","26","0","1"
"05-09 years","Brooks","49","0","0"
"10-17 years","Brooks","121","0","0"
"18-29 years","Brooks","258","0","4"
"30-39 years","Brooks","194","1","8"
"40-49 years","Brooks","184","2","14"
"50-59 years","Brooks","218","4","29"
"60-69 years","Brooks","139","11","27"
"70-79 years","Brooks","115","16","25"
"80 & Older years","Brooks","72","19","21"
"<1 years","Brooks","11","0","0"
"01-04 years","Bryan","116","0","0"
"05-09 years","Bryan","225","0","2"
"10-17 years","Bryan","598","0","5"
"18-29 years","Bryan","844","1","21"
"30-39 years","Bryan","790","3","26"
"40-49 years","Bryan","794","5","45"
"50-59 years","Bryan","535","7","49"
"60-69 years","Bryan","368","18","57"
"70-79 years","Bryan","219","19","82"
"80 & Older years","Bryan","79","10","31"
"<1 years","Bryan","38","0","1"
"Unknown years","Bryan","10","0","0"
"01-04 years","Bulloch","152","0","2"
"05-09 years","Bulloch","306","0","2"
"10-17 years","Bulloch","870","0","3"
"18-29 years","Bulloch","2963","1","13"
"30-39 years","Bulloch","1054","5","28"
"40-49 years","Bulloch","857","7","30"
"50-59 years","Bulloch","740","18","54"
"60-69 years","Bulloch","528","24","66"
"70-79 years","Bulloch","257","24","56"
"80 & Older years","Bulloch","126","19","42"
"<1 years","Bulloch","60","0","2"
"01-04 years","Burke","35","0","0"
"05-09 years","Burke","73","0","0"
"10-17 years","Burke","200","0","1"
"18-29 years","Burke","453","2","11"
"30-39 years","Burke","365","1","15"
"40-49 years","Burke","372","3","22"
"50-59 years","Burke","342","6","39"
"60-69 years","Burke","261","8","47"
"70-79 years","Burke","136","16","39"
"80 & Older years","Burke","47","12","19"
"<1 years","Burke","11","0","0"
"Unknown years","Burke","4","0","0"
"01-04 years","Butts","48","0","2"
"05-09 years","Butts","75","0","0"
"10-17 years","Butts","256","0","5"
"18-29 years","Butts","630","0","8"
"30-39 years","Butts","562","0","9"
"40-49 years","Butts","501","5","22"
"50-59 years","Butts","526","14","44"
"60-69 years","Butts","352","19","45"
"70-79 years","Butts","249","31","41"
"80 & Older years","Butts","143","38","12"
"<1 years","Butts","17","0","3"
"Unknown years","Butts","3","0","0"
"01-04 years","Calhoun","16","0","0"
"05-09 years","Calhoun","14","0","0"
"10-17 years","Calhoun","64","0","1"
"18-29 years","Calhoun","95","0","6"
"30-39 years","Calhoun","82","3","7"
"40-49 years","Calhoun","97","1","11"
"50-59 years","Calhoun","102","4","20"
"60-69 years","Calhoun","87","4","23"
"70-79 years","Calhoun","34","7","11"
"80 & Older years","Calhoun","22","2","10"
"<1 years","Calhoun","5","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","136","0","0"
"05-09 years","Camden","240","0","2"
"10-17 years","Camden","620","0","1"
"18-29 years","Camden","1302","0","10"
"30-39 years","Camden","1051","3","26"
"40-49 years","Camden","763","10","29"
"50-59 years","Camden","803","10","38"
"60-69 years","Camden","551","22","51"
"70-79 years","Camden","311","12","34"
"80 & Older years","Camden","130","22","28"
"<1 years","Camden","21","0","2"
"Unknown years","Camden","32","0","0"
"01-04 years","Candler","13","0","0"
"05-09 years","Candler","41","0","0"
"10-17 years","Candler","102","0","0"
"18-29 years","Candler","187","0","1"
"30-39 years","Candler","152","0","5"
"40-49 years","Candler","165","4","3"
"50-59 years","Candler","185","13","18"
"60-69 years","Candler","130","9","19"
"70-79 years","Candler","93","15","21"
"80 & Older years","Candler","35","8","15"
"<1 years","Candler","6","0","0"
"01-04 years","Carroll","169","0","1"
"05-09 years","Carroll","292","0","3"
"10-17 years","Carroll","1011","0","6"
"18-29 years","Carroll","2288","1","17"
"30-39 years","Carroll","1531","4","23"
"40-49 years","Carroll","1452","9","46"
"50-59 years","Carroll","1377","15","66"
