"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","1648","12"
"Hispanic/Latino","American Indian/Alaska Native","74","0"
"Hispanic/Latino","Asian","166","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","134","0"
"Hispanic/Latino","Other","21628","204"
"Hispanic/Latino","Unknown","9480","5"
"Hispanic/Latino","White","29296","350"
"Non-Hispanic/Latino","African-American/Black","125535","3641"
"Non-Hispanic/Latino","American Indian/Alaska Native","235","10"
"Non-Hispanic/Latino","Asian","8323","173"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","388","6"
"Non-Hispanic/Latino","Other","5786","19"
"Non-Hispanic/Latino","Unknown","4626","16"
"Non-Hispanic/Latino","White","176954","5155"
"Unknown","African-American/Black","17484","17"
"Unknown","American Indian/Alaska Native","105","0"
"Unknown","Asian","2153","0"
"Unknown","Native Hawaiian/Pacific Islander","122","0"
"Unknown","Other","8566","8"
"Unknown","Unknown","97823","25"
"Unknown","White","26553","15"
